Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:17:43 PM     CPU       MHz
05:17:45 PM     all   2299.94
05:17:47 PM     all   2299.94
05:17:49 PM     all   2299.94
05:17:51 PM     all   2299.94
05:17:53 PM     all   2299.94
05:17:55 PM     all   2299.94
05:17:57 PM     all   2299.94
05:17:59 PM     all   2299.94
05:18:01 PM     all   2299.94
05:18:03 PM     all   2299.94
05:18:05 PM     all   2299.94
05:18:07 PM     all   2299.94
05:18:09 PM     all   2299.94
05:18:11 PM     all   2299.94
05:18:13 PM     all   2299.94
05:18:15 PM     all   2299.94
05:18:17 PM     all   2299.94
05:18:19 PM     all   2299.94
05:18:21 PM     all   2299.94
05:18:23 PM     all   2299.94
05:18:25 PM     all   2299.94
05:18:27 PM     all   2299.94
05:18:29 PM     all   2299.94
05:18:31 PM     all   2299.94
05:18:33 PM     all   2299.94
05:18:35 PM     all   2299.94
05:18:37 PM     all   2299.94
05:18:39 PM     all   2299.94
05:18:41 PM     all   2299.94
05:18:43 PM     all   2299.94
05:18:45 PM     all   2299.94
05:18:47 PM     all   2299.94
05:18:49 PM     all   2299.94
05:18:51 PM     all   2299.94
05:18:53 PM     all   2299.94
05:18:55 PM     all   2299.94
05:18:57 PM     all   2299.94
05:18:59 PM     all   2299.94
05:19:01 PM     all   2299.94
05:19:03 PM     all   2299.94
05:19:05 PM     all   2299.94
05:19:07 PM     all   2299.94
05:19:09 PM     all   2299.94
05:19:11 PM     all   2299.94
05:19:13 PM     all   2299.94
05:19:15 PM     all   2299.94
05:19:17 PM     all   2299.94
05:19:19 PM     all   2299.94
05:19:21 PM     all   2299.94
05:19:23 PM     all   2299.94
05:19:25 PM     all   2299.94
05:19:27 PM     all   2299.94
05:19:29 PM     all   2299.94
05:19:31 PM     all   2299.94
05:19:33 PM     all   2299.94
05:19:35 PM     all   2299.94
05:19:37 PM     all   2299.94
05:19:39 PM     all   2299.94
05:19:41 PM     all   2299.94
05:19:43 PM     all   2299.94
05:19:45 PM     all   2299.94
05:19:47 PM     all   2299.94
05:19:49 PM     all   2299.94
05:19:51 PM     all   2299.94
