Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:19:10  0                   0             0            0               86658           0                  1642               0                         245      
22:19:12  0                   0             0            0               86658           0                  1642               0                         245      
22:19:14  0                   0             0            0               86658           0                  1642               0                         245      
22:19:16  0                   0             0            0               86658           0                  1642               0                         245      
22:19:18  0                   0             0            0               86658           0                  1642               0                         245      
22:19:20  0                   0             0            0               86658           0                  1642               0                         245      
22:19:22  0                   0             0            0               86658           0                  1642               0                         245      
22:19:24  0                   0             0            0               86658           0                  1643               0                         245      
Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:19:26  0                   0             0            0               86658           0                  1643               0                         245      
22:19:28  0                   0             0            0               86658           0                  1643               0                         245      
22:19:30  0                   0             0            0               86658           0                  1643               0                         245      
22:19:32  0                   0             0            0               86658           0                  1643               0                         245      
22:19:34  0                   0             0            0               86658           0                  1643               0                         245      
22:19:36  0                   0             0            0               86658           0                  1643               0                         245      
22:19:38  0                   0             0            0               86658           0                  1643               0                         245      
22:19:40  0                   0             0            0               86658           0                  1643               0                         245      
22:19:42  0                   0             0            0               86658           0                  1643               0                         245      
22:19:44  0                   0             0            0               86658           0                  1643               0                         245      
22:19:46  0                   0             0            0               86658           0                  1643               0                         245      
22:19:48  0                   0             0            0               86658           0                  1643               0                         245      
22:19:50  0                   0             0            0               86658           0                  1643               0                         245      
22:19:52  0                   0             0            0               86658           0                  1643               0                         245      
22:19:54  0                   0             0            0               86658           0                  1643               0                         245      
22:19:56  0                   0             0            0               86658           0                  1643               0                         245      
22:19:58  0                   0             0            0               86658           0                  1643               0                         245      
22:20:00  0                   0             0            0               86658           0                  1643               0                         245      
22:20:02  0                   0             0            0               86658           0                  1643               0                         245      
22:20:04  0                   0             0            0               86658           0                  1643               0                         245      
22:20:06  0                   0             0            0               86658           0                  1643               0                         245      
22:20:08  0                   0             0            0               86658           0                  1643               0                         245      
22:20:10  0                   0             0            0               86658           0                  1643               0                         245      
22:20:12  0                   0             0            0               86658           0                  1643               0                         245      
22:20:14  0                   0             0            0               86658           0                  1643               0                         245      
22:20:16  0                   0             0            0               86658           0                  1643               0                         245      
22:20:18  0                   0             0            0               86658           0                  1643               0                         245      
22:20:20  0                   0             0            0               86658           0                  1643               0                         245      
22:20:22  0                   0             0            0               86658           0                  1643               0                         245      
22:20:24  0                   0             0            0               86658           0                  1643               0                         245      
22:20:26  0                   0             0            0               86658           0                  1643               0                         245      
22:20:28  0                   0             0            0               86658           0                  1643               0                         245      
22:20:30  0                   0             0            0               86658           0                  1643               0                         245      
22:20:32  0                   0             0            0               86658           0                  1643               0                         245      
22:20:34  0                   0             0            0               86658           0                  1643               0                         245      
22:20:36  0                   0             0            0               86658           0                  1643               0                         245      
22:20:38  0                   0             0            0               86658           0                  1643               0                         245      
22:20:40  0                   0             0            0               86658           0                  1643               0                         245      
22:20:42  0                   0             0            0               86658           0                  1643               0                         245      
22:20:44  0                   0             0            0               86658           0                  1643               0                         245      
22:20:46  0                   0             0            0               86658           0                  1643               0                         245      
22:20:48  0                   0             0            0               86658           0                  1643               0                         245      
22:20:50  0                   0             0            0               86658           0                  1643               0                         245      
22:20:52  0                   0             0            0               86658           0                  1643               0                         245      
22:20:54  0                   0             0            0               86658           0                  1643               0                         245      
22:20:56  0                   0             0            0               86658           0                  1643               0                         245      
22:20:58  0                   0             0            0               86658           0                  1643               0                         245      
22:21:00  0                   0             0            0               86658           0                  1643               0                         245      
22:21:02  0                   0             0            0               86658           0                  1643               0                         245      
22:21:05  0                   0             0            0               86658           0                  1643               0                         245      
22:21:07  0                   0             0            0               86658           0                  1643               0                         245      
Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:21:09  0                   0             0            0               86658           0                  1643               0                         245      
22:21:11  0                   0             0            0               86658           0                  1643               0                         245      
22:21:13  0                   0             0            0               86658           0                  1643               0                         245      
22:21:15  0                   0             0            0               86658           0                  1643               0                         245      
22:21:17  0                   0             0            0               86658           0                  1643               0                         245      
22:21:19  0                   0             0            0               86658           0                  1643               0                         245      
22:21:21  0                   0             0            0               86658           0                  1643               0                         245      
22:21:23  0                   0             0            0               86658           0                  1643               0                         245      
22:21:25  0                   0             0            0               86658           0                  1643               0                         245      
22:21:27  0                   0             0            0               86658           0                  1643               0                         245      
22:21:29  0                   0             0            0               86658           0                  1643               0                         245      
22:21:31  0                   0             0            0               86658           0                  1643               0                         245      
22:21:33  0                   0             0            0               86658           0                  1643               0                         245      
22:21:35  0                   0             0            0               86658           0                  1643               0                         245      
22:21:37  0                   0             0            0               86658           0                  1643               0                         245      
22:21:39  0                   0             0            0               86658           0                  1643               0                         245      
22:21:41  0                   0             0            0               86658           0                  1643               0                         245      
22:21:43  0                   0             0            0               86658           0                  1643               0                         245      
22:21:45  0                   0             0            0               86658           0                  1643               0                         245      
22:21:47  0                   0             0            0               86658           0                  1643               0                         245      
22:21:49  0                   0             0            0               86658           0                  1643               0                         245      
22:21:51  0                   0             0            0               86658           0                  1643               0                         245      
22:21:53  0                   0             0            0               86658           0                  1643               0                         245      
22:21:55  0                   0             0            0               86658           0                  1643               0                         245      
