Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:17:43 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
05:17:45 PM     all     68.52      0.95      3.82      0.00      0.00      0.00      1.85      0.00     24.86
05:17:47 PM     all     68.09      0.19      4.52      0.00      0.00      0.00      2.48      0.00     24.72
05:17:49 PM     all     66.86      0.08      4.65      0.00      0.00      0.00      2.53      0.00     25.87
05:17:51 PM     all     66.79      0.40      5.58      0.00      0.00      0.00      2.49      0.00     24.74
05:17:53 PM     all     67.50      0.29      6.13      0.00      0.00      0.02      2.63      0.00     23.42
05:17:55 PM     all     68.95      0.08      6.08      0.00      0.00      0.00      2.63      0.00     22.25
05:17:57 PM     all     68.55      0.00      6.22      0.00      0.00      0.00      2.57      0.00     22.66
05:17:59 PM     all     67.67      0.00      6.19      0.02      0.00      0.00      2.46      0.00     23.65
05:18:01 PM     all     68.30      0.00      5.96      0.00      0.00      0.00      2.46      0.00     23.28
05:18:03 PM     all     68.84      0.34      6.16      0.00      0.00      0.00      2.49      0.00     22.18
05:18:05 PM     all     69.03      0.00      6.34      0.00      0.00      0.00      2.59      0.00     22.04
05:18:07 PM     all     68.87      0.00      6.27      0.00      0.00      0.00      2.40      0.00     22.46
05:18:09 PM     all     69.29      0.00      6.47      0.00      0.00      0.00      2.63      0.00     21.61
05:18:11 PM     all     69.08      0.00      6.56      0.00      0.00      0.00      2.50      0.00     21.86
05:18:13 PM     all     68.51      0.00      6.41      0.00      0.00      0.00      2.58      0.00     22.50
05:18:15 PM     all     69.34      0.00      6.15      0.00      0.00      0.00      2.55      0.00     21.96
05:18:17 PM     all     68.48      0.00      6.38      0.00      0.00      0.00      2.59      0.00     22.55
05:18:19 PM     all     69.64      0.00      6.14      0.00      0.00      0.02      2.48      0.00     21.71
05:18:21 PM     all     68.19      0.00      5.97      0.00      0.00      0.00      2.52      0.00     23.32
05:18:23 PM     all     69.14      0.00      6.32      0.00      0.00      0.00      2.62      0.00     21.93
