Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:17:43 PM   frmpg/s   bufpg/s   campg/s
05:17:45 PM -10042.56      0.00      8.72
05:17:47 PM     26.90      0.00      2.03
05:17:49 PM   -100.52      0.00      0.52
05:17:51 PM   -333.50      0.00      0.51
05:17:53 PM    890.36      0.00      1.02
05:17:55 PM    511.00      0.00      0.50
05:17:57 PM     90.40      0.00      1.52
05:17:59 PM   -348.74      0.00      0.00
05:18:01 PM    226.63      0.00      2.01
05:18:03 PM    -75.50      0.00      0.00
05:18:05 PM    -18.59      0.00      1.01
05:18:07 PM     18.41      0.00      0.50
05:18:09 PM     37.37      0.00      0.51
05:18:11 PM     68.18      0.00      1.01
05:18:13 PM   -133.50      0.00      0.51
05:18:15 PM     95.98      0.00      1.01
05:18:17 PM     36.55      0.00      0.51
05:18:19 PM    133.33      0.00      0.51
05:18:21 PM   -146.19      0.00      1.02
05:18:23 PM      6.50      0.00      0.50
05:18:25 PM    190.95      0.00      1.51
05:18:27 PM   -530.30      0.00      0.51
05:18:29 PM  -1798.50      0.00      2.00
05:18:31 PM    924.24      0.00      1.52
05:18:33 PM    -38.78      0.00      0.00
05:18:35 PM   -467.86      0.00      2.04
05:18:37 PM   1080.00      0.00      0.00
05:18:39 PM   -745.41      0.00      1.53
05:18:41 PM    838.07      0.00      0.00
05:18:43 PM     94.50      0.00      1.50
05:18:45 PM  -1483.84      0.00      0.51
05:18:47 PM    422.61      0.00      1.51
05:18:49 PM    817.09      0.00      0.00
05:18:51 PM   -382.74      0.00      1.02
05:18:53 PM    -88.89      0.00      0.51
05:18:55 PM    681.63      0.00      1.02
05:18:57 PM     73.74      0.00      1.01
05:18:59 PM    189.90      0.00      2.02
05:19:01 PM     83.25      0.00      1.02
05:19:03 PM   -182.00      0.00      1.00
05:19:05 PM    126.77      0.00      1.52
05:19:07 PM     60.30      0.00      0.00
05:19:09 PM     -2.00      0.00      1.00
05:19:11 PM    138.38      0.00      1.52
05:19:13 PM    -66.00      0.00      0.50
