Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:17:43 PM  active/s passive/s    iseg/s    oseg/s
05:21:33 PM      0.52      0.00  35176.68  35163.21
05:21:35 PM      0.52      0.00  35881.25  35885.42
05:21:37 PM      0.00      0.00  34989.53  34976.44
05:21:39 PM      0.52      0.00  35261.14  35276.17
05:21:41 PM      0.52      0.00  35124.74  35113.40
05:21:43 PM      0.00      0.00  34768.53  34784.77
05:21:45 PM      0.51      0.00  34455.84  34432.99
05:21:47 PM      0.51      0.00  34435.86  34448.48
05:21:49 PM      0.00      0.00  34339.59  34350.76
05:21:51 PM      0.51      0.00  34425.38  34428.43
05:21:53 PM      0.52      0.00  34918.23  34891.15
05:21:55 PM      0.00      0.00  35433.51  35427.84
05:21:57 PM      0.52      0.00  35435.94  35448.44
05:21:59 PM      0.52      0.00  34930.37  34921.99
05:22:01 PM      0.00      0.00  35588.60  35612.95
05:22:03 PM      0.50      0.00  33938.69  33935.68
05:22:05 PM      0.51      0.00  34310.61  34300.00
05:22:07 PM      0.00      0.00  34283.76  34282.74
05:22:09 PM      0.51      0.00  34841.12  34843.15
05:22:11 PM      0.51      0.00  34587.76  34585.71
05:22:13 PM      0.00      0.00  35051.55  35053.61
05:22:15 PM      0.52      0.00  35316.06  35321.24
05:22:17 PM      0.52      0.00  35208.29  35205.18
05:22:19 PM      0.00      0.00  35003.08  35002.05
05:22:21 PM      0.52      0.00  35385.57  35371.13
05:22:23 PM      0.51      0.00  35920.81  35949.75
05:22:25 PM      0.00      0.00  31803.00  31770.00
05:22:27 PM      0.51      0.00  32503.06  32473.47
05:22:29 PM      0.51      0.00  33439.80  33444.39
05:22:31 PM      0.00      0.00  31770.20  31719.70
05:22:33 PM      0.52      0.00  34038.74  34053.93
05:22:35 PM      0.52      0.00  32695.36  32698.45
05:22:37 PM      0.00      0.00  33393.30  33370.10
05:22:39 PM      0.52      0.00  32773.06  32726.94
05:22:41 PM      0.51      0.00  33753.06  33743.88
05:22:43 PM      0.00      0.00  32576.65  32570.56
05:22:45 PM      0.51      0.00  33784.85  33764.65
05:22:47 PM      0.51      0.00  33620.81  33612.69
05:22:49 PM      0.00      0.00  33035.03  33003.05
05:22:51 PM      0.51      0.00  33131.12  33133.67
05:22:53 PM      0.52      0.00  33625.65  33594.24
05:22:55 PM      0.00      0.00  33701.04  33677.20
05:22:57 PM      0.53      0.00  33826.84  33842.63
05:22:59 PM      0.52      0.00  33870.31  33863.54
05:23:01 PM      0.00      0.00  33365.98  33340.72
05:23:03 PM      0.51      0.00  32536.87  32517.68
05:23:05 PM      0.51      0.00  31958.59  31937.37
05:23:07 PM      0.00      0.00  33019.60  33005.03
05:23:09 PM      0.51      0.00  32864.80  32848.47
05:23:11 PM      0.51      0.00  33766.33  33763.78
05:23:13 PM      0.00      0.00  34217.28  34168.06
05:23:15 PM      0.52      0.00  33567.88  33547.67
05:23:17 PM      0.53      0.00  33854.74  33868.42
05:23:19 PM      0.00      0.00  34091.71  34064.25
05:23:21 PM      0.52      0.00  33081.44  33060.31
05:23:23 PM      0.51      0.00  33264.14  33277.78
05:23:25 PM      0.00      0.00  32352.53  32297.47
05:23:27 PM      0.50      0.00  33150.75  33135.18
05:23:29 PM      0.51      0.00  34698.48  34698.48
05:23:31 PM      0.00      0.00  30501.02  30445.92
05:23:33 PM      0.52      0.00  32320.21  32268.39
05:23:35 PM      0.52      0.00  32786.91  32787.96
05:23:37 PM      0.00      0.00  32435.26  32390.53
05:23:39 PM      0.52      0.00  32932.98  32897.38
05:23:41 PM      0.51      0.00  32956.92  32934.36
05:23:43 PM      0.00      0.00  32524.87  32491.37
05:23:45 PM      0.51      0.00  30685.35  30629.80
05:23:47 PM      0.51      0.00  32674.36  32641.54
05:23:49 PM      0.00      0.00  31287.24  31243.88
05:23:51 PM      0.51      0.00  31636.04  31643.65
05:23:53 PM      0.52      0.00  32652.60  32547.40
05:23:55 PM      0.00      0.00  32473.96  32471.88
05:23:57 PM      0.52      0.00  32465.97  32413.09
05:23:59 PM      0.52      0.00  33075.13  33068.39
05:24:01 PM      0.00      0.00  32278.35  32241.75
05:24:03 PM      0.51      0.00  31062.44  31023.86
05:24:05 PM      0.51      0.00  30647.47  30611.11
05:24:07 PM      0.00      0.00  31161.22  31129.08
05:24:09 PM      0.50      0.00  30551.76  30511.56
05:24:11 PM      0.51      0.00  31719.49  31687.69
05:24:13 PM      0.00      0.00  33594.76  33554.97
05:24:15 PM      0.51      0.00  31535.38  31492.31
05:24:17 PM      0.52      0.00  32017.28  31996.86
05:24:19 PM      0.00      0.00  32845.31  32757.81
05:24:21 PM      0.52      0.00  31799.48  31786.60
05:24:23 PM      0.51      0.00  31180.20  31131.98
05:24:25 PM      0.00      0.00  30504.04  30472.73
05:24:27 PM      0.51      0.00  31352.55  31294.39
05:24:29 PM      0.50      0.00  30429.50  30398.50
05:24:31 PM      0.00      0.00  31661.66  31640.93
05:24:33 PM      0.52      0.00  31045.36  30992.27
05:24:35 PM      0.52      0.00  30266.84  30186.01
05:24:37 PM      0.00      0.00  26096.34  26029.32
05:24:39 PM      0.52      0.00  27761.78  27658.12
05:24:41 PM      0.52      0.00  27627.32  27542.27
05:24:43 PM      0.00      0.00  26204.10  26092.31
05:24:45 PM      0.52      0.00  27044.85  26953.09
05:24:47 PM      0.51      0.00  25876.26  25801.01
05:24:49 PM      0.00      0.00  27574.75  27473.74
05:24:51 PM      0.52      0.00  26227.84  26132.47
05:24:53 PM      0.51      0.00  26081.22  25968.53
05:24:55 PM      0.00      0.00  26456.28  26380.90
05:24:57 PM      0.51      0.00  27621.03  27518.46
05:24:59 PM      0.51      0.00  25834.34  25729.80
05:25:01 PM      0.00      0.00  25583.84  25494.44
05:25:03 PM      0.51      0.00  28608.08  28520.71
05:25:05 PM      0.51      0.00  30103.55  30018.27
05:25:07 PM      0.00      0.00  27900.00  27823.23
05:25:09 PM      0.51      0.00  24684.85  24608.08
05:25:11 PM      0.51      0.00  26300.00  26196.94
05:25:13 PM      0.00      0.00  27977.49  27875.39
05:25:15 PM      0.52      0.00  27150.52  27048.96
05:25:17 PM      0.52      0.00  25726.18  25627.75
05:25:19 PM      0.00      0.00  27584.90  27491.67
05:25:21 PM      0.52      0.00  27451.31  27336.65
05:25:23 PM      0.00      0.00  28540.61  28473.10
05:25:25 PM      0.51      0.00  25236.73  25130.10
05:25:27 PM      0.51      0.00  24336.55  24216.75
05:25:29 PM      0.00      0.00  22475.63  22365.99
05:25:31 PM      0.52      0.00  25416.58  25308.29
05:25:33 PM      0.52      0.00  25827.08  25723.96
05:25:35 PM      0.00      0.00  27891.10  27826.18
05:25:37 PM      0.53      0.00  29798.42  29671.58
05:25:39 PM      0.52      0.00  28248.96  28224.48
05:25:41 PM      0.00      0.00  22777.72  22633.16
05:25:43 PM      0.51      0.00  20649.49  20490.40
05:25:45 PM      0.51      0.00  19326.90  19201.52
05:25:47 PM      0.00      0.00  17758.08  17597.98
05:25:49 PM      0.51      0.00  18111.11  17963.13
05:25:51 PM      0.51      0.00  25926.53  25831.63
05:25:53 PM      0.00      0.00  19960.64  19821.81
05:25:55 PM      0.53      0.00  17540.00  17378.95
05:25:57 PM      0.52      0.00  20276.44  20100.00
05:25:59 PM      0.00      0.00  17383.08  17257.44
05:26:01 PM      0.52      0.00  21492.23  21360.10
05:26:03 PM      0.51      0.00  19955.33  19799.49
05:26:05 PM      0.00      0.00  37677.66  37639.09
05:26:07 PM      0.50      0.00  35338.00  35319.00
05:26:09 PM      0.51      0.00  37977.27  37977.27
05:26:11 PM      0.00      0.00  38884.18  38880.61
05:26:13 PM      0.51      0.00  37793.91  37799.49
05:26:15 PM      0.51      0.00  37717.35  37711.73
05:26:17 PM      0.00      0.00  33680.93  33682.47
05:26:19 PM      0.52      0.00  33305.70  33265.28
05:26:21 PM      0.52      0.00  30604.12  30600.52
05:26:23 PM      0.00      0.00  31200.00  31143.72
05:26:25 PM      0.51      0.00  29690.86  29607.61
05:26:27 PM      0.50      0.00  37724.50  37721.50
05:26:29 PM      0.00      0.00  38259.20  38263.18
05:26:31 PM      0.50      0.00  38596.00  38595.50
05:26:33 PM      0.51      0.00  38560.91  38560.91
05:26:35 PM      0.00      0.00  38134.50  38135.50
05:26:37 PM      0.50      0.00  38080.50  38078.50
05:26:39 PM      0.51      0.00  36956.57  36953.54
05:26:41 PM      0.00      0.00  37411.62  37419.19
05:26:43 PM      0.50      0.00  37263.32  37260.30
05:26:45 PM      0.51      0.00  38405.08  38404.57
05:26:47 PM      0.00      0.00  39311.28  39306.67
05:26:49 PM      0.51      0.00  37942.86  37950.51
05:26:51 PM      0.50      0.00  36626.63  36623.62
05:26:53 PM      0.00      0.00  37296.98  37296.98
05:26:55 PM      0.50      0.00  37481.00  37478.50
05:26:57 PM      0.50      0.00  37451.00  37452.50
05:26:59 PM      0.00      0.00  37997.97  38003.55
05:27:01 PM      0.51      0.00  38013.13  38008.08
05:27:03 PM      0.51      0.00  37628.93  37631.47
05:27:05 PM      0.00      0.00  38071.79  38073.85
05:27:07 PM      0.51      0.00  38529.23  38522.56
05:27:09 PM      0.51      0.00  38154.36  38154.87
05:27:11 PM      0.00      0.00  38272.96  38272.96
05:27:13 PM      0.50      0.00  37274.87  37279.40
05:27:15 PM      0.50      0.00  37869.85  37866.33
05:27:17 PM      0.00      0.00  38351.76  38354.27
05:27:19 PM      0.51      0.00  39575.76  39570.20
05:27:21 PM      0.50      0.00  38265.33  38266.83
05:27:23 PM      0.00      0.00  38532.47  38533.51
05:27:25 PM      0.51      0.00  37824.49  37823.47
05:27:27 PM      0.51      0.00  38119.70  38119.70
05:27:29 PM      0.00      0.00  37852.04  37852.55
05:27:31 PM      0.51      0.00  36627.27  36630.81
05:27:33 PM      0.50      0.00  36977.00  36972.50
05:27:35 PM      0.00      0.00  36979.90  36995.98
05:27:37 PM      0.50      0.00  37260.30  37242.21
05:27:39 PM      0.50      0.00  37580.40  37587.94
05:27:41 PM      0.00      0.00  37819.90  37818.37
05:27:43 PM      0.51      0.00  37837.76  37834.18
05:27:45 PM      0.51      0.00  37353.06  37360.20
05:27:47 PM      0.00      0.00  39230.57  39223.32
05:27:49 PM      0.51      0.00  38225.00  38228.57
05:27:51 PM      0.51      0.00  38377.78  38382.83
05:27:53 PM      0.00      0.00  37321.21  37326.77
05:27:55 PM      0.50      0.00  37892.96  37886.93
05:27:57 PM      0.51      0.00  37691.37  37686.80
05:27:59 PM      0.00      0.00  38188.38  38188.38
05:28:01 PM      0.51      0.00  38942.64  38942.64
05:28:03 PM      0.51      0.00  38233.67  38245.41
05:28:05 PM      0.00      0.00  37992.86  37981.63
05:28:07 PM      0.51      0.00  37899.49  37896.45
05:28:09 PM      0.51      0.00  37562.76  37568.37
05:28:11 PM      0.00      0.00  37830.81  37831.31
05:28:13 PM      0.50      0.00  37793.00  37786.00
05:28:15 PM      0.51      0.00  38300.51  38312.63
05:28:17 PM      0.00      0.00  37317.59  37310.55
05:28:19 PM      0.50      0.00  37581.41  37578.89
05:28:21 PM      0.51      0.00  37077.16  37073.10
05:28:23 PM      0.00      0.00  38840.72  38843.30
05:28:25 PM      0.52      0.00  37954.40  37949.74
05:28:27 PM      0.51      0.00  37588.27  37596.43
05:28:29 PM      0.00      0.00  36038.00  36030.00
05:28:31 PM      0.52      0.00  37733.68  37740.41
05:28:33 PM      0.50      0.00  37985.43  37987.44
05:28:35 PM      0.00      0.00  39024.75  39020.20
05:28:37 PM      0.50      0.00  37622.00  37617.00
05:28:39 PM      0.50      0.00  37659.30  37672.36
05:28:41 PM      0.00      0.00  37077.66  37075.13
05:28:43 PM      0.52      0.00  38244.33  38249.48
05:28:45 PM      0.51      0.00  37129.95  37121.83
05:28:47 PM      0.00      0.00  37419.90  37417.86
05:28:49 PM      0.51      0.00  38175.90  38181.03
05:28:51 PM      0.51      0.00  37680.20  37674.62
05:28:53 PM      0.00      0.00  37698.99  37697.47
05:28:55 PM      0.50      0.00  38048.24  38049.25
05:28:57 PM      0.51      0.00  38095.96  38090.91
05:28:59 PM      0.00      0.00  37716.67  37718.18
05:29:01 PM      0.51      0.00  37385.71  37384.18
05:29:03 PM      0.51      0.00  37937.24  37946.94
05:29:05 PM      0.00      0.00  37827.08  37825.52
05:29:07 PM      0.51      0.00  37408.12  37406.60
05:29:09 PM      0.51      0.00  38292.86  38290.31
05:29:11 PM      0.00      0.00  38430.77  38441.03
05:29:13 PM      0.50      0.00  37353.23  37345.77
05:29:15 PM      0.51      0.00  37717.17  37723.23
05:29:17 PM      0.00      0.00  37758.79  37759.80
05:29:19 PM      0.50      0.00  38111.06  38116.08
05:29:21 PM      0.51      0.00  37518.69  37513.13
05:29:23 PM      0.00      0.00  37735.20  37730.10
05:29:25 PM      0.51      0.00  37773.60  37782.23
05:29:27 PM      0.51      0.00  37598.47  37587.24
05:29:29 PM      0.00      0.00  37219.80  37225.89
05:29:31 PM      0.51      0.00  37357.36  37356.85
05:29:33 PM      0.50      0.00  37086.57  37087.06
05:29:35 PM      0.00      0.00  37179.40  37180.90
05:29:37 PM      0.50      0.00  38907.00  38909.00
05:29:39 PM      0.50      0.00  39473.87  39464.82
05:29:41 PM      0.00      0.00  37923.12  37925.63
05:29:43 PM      0.51      0.00  38472.82  38481.54
05:29:45 PM      0.52      0.00  38564.95  38565.98
05:29:47 PM      0.00      0.00  38047.45  38048.47
05:29:49 PM      0.51      0.00  37838.97  37830.26
05:29:51 PM      0.51      0.00  37973.98  37971.43
05:29:53 PM      0.00      0.00  33641.71  33628.64
05:29:55 PM      0.50      0.00  35928.50  35887.00
05:29:57 PM      0.51      0.00  37345.45  37330.81
05:29:59 PM      0.00      0.00  37254.04  37232.83
05:30:01 PM      0.51      0.00  36330.30  36323.74
05:30:03 PM      0.52      0.00  37727.46  37719.69
05:30:05 PM      0.00      0.00  37284.62  37277.95
05:30:07 PM      0.51      0.00  37031.31  37030.81
05:30:09 PM      0.51      0.00  37344.39  37333.16
05:30:11 PM      0.00      0.00  37149.49  37146.46
05:30:13 PM      0.51      0.00  37367.51  37367.51
05:30:15 PM      0.50      0.00  37526.50  37539.00
05:30:17 PM      0.00      0.00  37684.34  37679.80
05:30:19 PM      0.50      0.00  37582.41  37572.86
05:30:21 PM      0.51      0.00  37060.91  37067.01
05:30:23 PM      0.00      0.00  38044.39  38044.90
05:30:25 PM      0.51      0.00  37786.15  37781.03
05:30:27 PM      0.52      0.00  38457.73  38456.70
05:30:29 PM      0.00      0.00  36301.02  36291.33
05:30:31 PM      0.51      0.00  36541.84  36537.24
05:30:33 PM      0.50      0.00  36382.41  36383.42
05:30:35 PM      0.00      0.00  37521.61  37522.61
05:30:37 PM      0.50      0.00  37211.00  37210.00
05:30:39 PM      0.50      0.00  37459.00  37460.00
05:30:41 PM      0.00      0.00  36710.61  36713.64
05:30:43 PM      0.51      0.00  38329.74  38336.41
05:30:45 PM      0.51      0.00  37670.26  37656.92
05:30:47 PM      0.00      0.00  37746.67  37749.23
05:30:49 PM      0.51      0.00  37483.08  37492.82
05:30:51 PM      0.51      0.00  37135.53  37126.40
05:30:53 PM      0.00      0.00  37250.75  37248.74
05:30:55 PM      0.50      0.00  36638.50  36638.00
05:30:57 PM      0.51      0.00  37864.97  37866.50
05:30:59 PM      0.00      0.00  36757.50  36761.50
05:31:01 PM      0.51      0.00  37158.38  37157.87
05:31:03 PM      0.51      0.00  37158.16  37147.45
05:31:05 PM      0.00      0.00  38345.88  38346.91
05:31:07 PM      0.52      0.00  37648.45  37642.78
05:31:09 PM      0.51      0.00  36712.82  36713.85
05:31:11 PM      0.00      0.00  37725.00  37720.41
05:31:13 PM      0.51      0.00  38159.69  38191.84
05:31:15 PM      0.50      0.00  36955.50  36931.00
05:31:17 PM      0.00      0.00  37370.50  37374.50
05:31:19 PM      0.51      0.00  37747.98  37742.42
05:31:21 PM      0.51      0.00  36155.05  36168.69
05:31:23 PM      0.00      0.00  36816.41  36786.67
05:31:25 PM      0.51      0.00  37720.00  37722.56
05:31:27 PM      0.51      0.00  36094.87  36091.28
05:31:29 PM      0.00      0.00  35917.77  35922.34
05:31:31 PM      0.51      0.00  36428.93  36427.41
05:31:33 PM      0.51      0.00  37328.43  37331.98
05:31:35 PM      0.00      0.00  36519.00  36518.50
05:31:37 PM      0.51      0.00  37379.19  37368.53
05:31:39 PM      0.50      0.00  37269.35  37270.35
05:31:41 PM      0.00      0.00  36717.50  36724.50
05:31:43 PM      0.50      0.00  37663.82  37669.35
05:31:45 PM      0.50      0.00  36519.10  36505.03
05:31:47 PM      0.00      0.00  36476.38  36479.40
05:31:49 PM      0.51      0.00  36568.69  36574.24
05:31:51 PM      0.51      0.00  37002.53  36995.96
05:31:53 PM      0.00      0.00  37836.87  37851.52
05:31:55 PM      0.51      0.00  39152.53  39144.44
05:31:57 PM      0.51      0.00  37483.76  37486.29
05:31:59 PM      0.00      0.00  37610.05  37597.49
05:32:01 PM      0.50      0.00  37020.60  37019.60
05:32:03 PM      0.51      0.00  36936.41  36931.28
05:32:05 PM      0.00      0.00  37689.12  37684.46
05:32:07 PM      0.52      0.00  37852.06  37852.06
05:32:09 PM      0.51      0.00  37320.51  37331.79
05:32:11 PM      0.00      0.00  32116.16  32059.60
05:32:13 PM      0.50      0.00  37388.44  37360.30
05:32:15 PM      0.50      0.00  36683.92  36670.85
05:32:17 PM      0.00      0.00  37214.57  37200.00
05:32:19 PM      0.50      0.00  35559.50  35543.50
05:32:21 PM      0.51      0.00  35672.08  35627.92
