Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM   frmpg/s   bufpg/s   campg/s
12:20:54 AM   -642.00      0.50     19.50
12:20:56 AM    104.50      0.00      0.00
12:20:58 AM     15.50      1.00     -0.50
12:21:00 AM      0.00      0.00      1.00
12:21:02 AM    108.50      0.00      0.00
12:21:04 AM      0.00      1.00     -0.50
12:21:06 AM      0.00      0.00      1.50
12:21:08 AM    -15.50      0.00      0.00
12:21:10 AM      0.00      1.00      0.50
12:21:12 AM     15.50      0.00      0.00
12:21:14 AM      0.00      0.00      0.50
12:21:16 AM     93.00      1.00     -0.50
12:21:18 AM     15.50      0.00      1.50
12:21:20 AM    -15.50      0.00      0.50
12:21:22 AM      0.00      1.00     -1.00
12:21:24 AM      0.00      0.00      2.00
12:21:26 AM      0.00      0.00      0.00
12:21:28 AM      0.00      1.00      0.00
12:21:30 AM    -21.50      0.00      1.00
12:21:32 AM    108.50      0.00      0.00
12:21:34 AM      0.00      1.00      0.00
12:21:36 AM      6.00      0.00      1.00
12:21:38 AM      0.00      0.00      0.50
12:21:40 AM     15.50      1.00     -0.50
12:21:42 AM    -13.50      0.00      1.00
12:21:44 AM      2.00      0.00      1.00
12:21:46 AM    107.50      1.00     -1.00
12:21:48 AM      0.00      0.00      1.50
12:21:50 AM      0.00      0.00      0.00
12:21:52 AM      0.00      1.00      0.00
12:21:54 AM    -15.50      0.00      1.50
12:21:56 AM      0.00      0.00      0.00
12:21:58 AM     15.50      1.00     -0.50
12:22:00 AM      0.00      0.00      1.00
12:22:02 AM     93.00      0.00      0.50
12:22:04 AM      0.00      1.00     -0.50
12:22:06 AM      0.00      0.00      1.50
12:22:08 AM    -15.50      0.00      1.00
12:22:10 AM     12.50      1.00     -1.00
12:22:12 AM      0.00      0.00      2.50
12:22:14 AM      0.00      0.00      0.50
12:22:16 AM    108.50      1.00      0.00
12:22:18 AM    -31.00      0.00      1.00
12:22:20 AM      0.00      0.00      0.50
12:22:22 AM      0.00      1.00     -0.50
12:22:24 AM      0.00      0.00      1.50
12:22:26 AM      0.00      0.00      0.00
12:22:28 AM      0.00      1.00      0.50
12:22:30 AM     15.50      0.00      0.50
12:22:32 AM     15.50      0.00      1.00
12:22:34 AM     15.50      1.00      0.00
12:22:36 AM      0.00      0.00      0.50
12:22:38 AM      0.00      0.00      0.00
12:22:40 AM    -15.50      1.00     -0.50
12:22:42 AM      0.00      0.00      1.50
12:22:44 AM      0.00      0.00      0.50
12:22:46 AM      0.00      1.00     -0.50
12:22:48 AM     -1.00      0.00      1.00
12:22:50 AM    -15.50      0.00      0.50
12:22:52 AM     15.50      1.00      0.00
12:22:54 AM      1.00      0.00      1.50
12:22:56 AM      0.00      0.00      1.00
12:22:58 AM      0.00      1.00     -1.00
12:23:00 AM      0.00      0.00      1.50
