Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)
12:23:02 AM    -15.50      0.00      0.50
12:23:04 AM     15.50      1.00     -0.50
12:23:06 AM      0.00      0.00      1.50
12:23:08 AM      0.00      0.00      0.00
12:23:10 AM      0.00      1.00     -0.50
12:23:12 AM    -15.50      0.00      1.00
12:23:14 AM     15.50      0.00      0.50
12:23:16 AM      0.00      1.00      0.50
12:23:18 AM    -31.00      0.00      0.00
12:23:20 AM      0.00      0.00      1.50
12:23:22 AM      0.00      1.00      0.00
12:23:24 AM      0.00      0.00      1.00
12:23:26 AM     15.50      0.00      0.00
12:23:28 AM      0.00      1.00      1.00
12:23:30 AM     13.50      0.00      0.50
12:23:32 AM      0.00      0.00      1.00
12:23:34 AM      0.00      1.00      1.00
12:23:36 AM      0.00      0.00      0.00
12:23:38 AM     15.50      0.00      0.50
12:23:40 AM    -15.50      1.00      0.50
12:23:42 AM      0.00      0.00      0.00
12:23:44 AM      0.00      1.00      1.00
12:23:46 AM      0.00      0.00      0.00
12:23:48 AM      0.00      0.50      0.00
12:23:50 AM      0.00      1.00      0.00
12:23:52 AM      0.00      0.00      2.00
12:23:54 AM      0.00      0.00      0.50
12:23:56 AM      0.00      1.00     -1.00
12:23:58 AM      0.00      0.00      1.50
12:24:00 AM      0.00      0.00      0.00
12:24:02 AM      0.00      1.00      0.50
12:24:04 AM      0.00      0.00      1.00
12:24:06 AM      0.00      0.00      0.00
12:24:08 AM      0.00      1.00      0.50
12:24:10 AM  -1534.50      0.00      0.50
12:24:12 AM   4464.00      0.00      0.50
12:24:14 AM      0.00      1.00     -0.50
12:24:16 AM      0.00      0.00      1.50
12:24:18 AM    -15.50      0.00      0.50
12:24:20 AM     15.50      1.00      0.00
12:24:22 AM      0.00      0.00      1.00
12:24:24 AM      0.00      0.00      0.00
12:24:26 AM      0.00      1.00      0.50
12:24:28 AM      0.00      0.00      0.50
12:24:30 AM     -1.00      0.00      0.00
12:24:32 AM     15.50      1.00      0.50
12:24:34 AM    -15.50      0.00      0.50
12:24:36 AM      0.00      0.00      1.00
12:24:38 AM      0.00      1.00      0.50
12:24:40 AM      0.00      0.00      0.50
12:24:42 AM      0.00      0.00      0.50
12:24:44 AM      0.00      1.00     -0.50
12:24:46 AM    -15.50      0.00      1.00
12:24:48 AM      9.00      0.00      0.00
12:24:50 AM     11.50      1.00      0.50
12:24:52 AM    -15.50      0.00      2.50
12:24:54 AM      0.00      0.00      0.00
12:24:56 AM     -2.00      1.00      1.00
12:24:58 AM     15.50      0.00      0.50
12:25:00 AM    -15.50      0.00      0.50
12:25:02 AM      0.00      1.00      0.00
12:25:04 AM     -1.00      0.00      1.50
12:25:06 AM     -2.00      0.00      0.50
12:25:08 AM     15.50      1.00      0.00
12:25:10 AM    -15.50      0.00      0.50
12:25:12 AM      4.00      0.00      5.50
12:25:14 AM     15.50      1.00      1.00
12:25:16 AM      0.00      0.00      0.50
12:25:18 AM    -15.50      0.00      0.50
12:25:20 AM     15.20      0.98      0.98
12:25:22 AM     -1.00      0.00      0.50
12:25:24 AM    -17.50      0.00      0.50
12:25:26 AM     -1.00      1.00     -1.00
12:25:28 AM     22.50      0.00      1.50
12:25:30 AM    -15.50      0.00      0.50
12:25:32 AM     13.50      1.00     -0.50
12:25:34 AM    -17.50      0.00      1.50
12:25:36 AM     -2.00      0.00      0.00
12:25:38 AM     14.50      1.00      0.50
12:25:40 AM    -15.50      0.00      0.50
12:25:42 AM      0.00      0.00      0.00
12:25:44 AM      0.00      1.00      0.50
12:25:46 AM     15.50      0.00      0.50
12:25:48 AM    -15.50      0.00      0.50
12:25:50 AM     -1.00      1.00      1.00
12:25:52 AM      0.00      0.00      0.50
12:25:54 AM      6.00      0.00      0.50
12:25:56 AM      0.00      1.00      0.00
12:25:58 AM      0.00      0.00      0.50
12:26:00 AM      0.00      0.00      0.00
12:26:02 AM      0.00      1.00      0.00
12:26:04 AM      0.00      0.00      0.50
12:26:06 AM      2.00      0.00      1.00
12:26:08 AM      0.00      1.50     -0.50
12:26:10 AM    -16.50      0.00      1.50
12:26:12 AM     15.50      0.00      1.50
12:26:14 AM     -1.00      1.00      0.50
12:26:16 AM      0.00      0.00      0.00
12:26:18 AM    -38.00      1.00      0.50
12:26:20 AM      4.00      0.00      1.00
12:26:22 AM     15.50      0.00      0.00
12:26:24 AM      2.00      1.00      0.50
12:26:26 AM    -15.50      0.00      0.50
12:26:28 AM      1.00      0.00      0.50
12:26:30 AM      0.00      1.00      0.00
12:26:32 AM     13.50      0.00      0.50
12:26:34 AM    -15.50      0.00      1.00
12:26:36 AM      0.00      1.00     -1.00
12:26:38 AM      0.00      0.00      1.50
12:26:40 AM     14.50      0.00      0.00
12:26:42 AM    -16.50      2.00     -0.50
12:26:44 AM      0.00      0.00      1.50
12:26:46 AM      0.00      0.00      0.00
12:26:48 AM    -32.00      1.00      1.50
12:26:50 AM    -15.50      0.00      0.50
12:26:52 AM     15.50      1.00     -0.50
12:26:54 AM      1.00      0.00      2.00
12:26:56 AM      0.00      0.00      0.00
12:26:58 AM     14.50      1.00      0.00
12:27:00 AM      0.00      0.00      1.00
12:27:02 AM    -15.50      0.00      0.50
12:27:04 AM     13.50      1.00      0.00
12:27:06 AM    -15.50      0.00      1.00
12:27:08 AM     15.50      0.00      0.50
12:27:10 AM      0.00      1.00     -0.50
12:27:12 AM    -15.50      0.00      1.00
12:27:14 AM      0.00      0.00      0.00
12:27:16 AM     15.50      1.00     -0.50
12:27:18 AM    -30.54      0.49      1.97
12:27:20 AM     15.50      0.00      0.50
12:27:22 AM    -15.50      1.00      0.50
12:27:24 AM    -15.50      0.00      0.50
12:27:26 AM     15.50      0.00      0.50
12:27:28 AM    -15.12      0.98      0.00
12:27:30 AM      0.00      0.00      1.00
12:27:32 AM     15.50      0.00      0.50
12:27:34 AM    -15.50      1.00      0.50
12:27:36 AM      0.00      0.00      1.50
12:27:38 AM      0.00      0.00      0.00
12:27:40 AM      0.00      1.00     -0.50
12:27:42 AM     16.50      0.00      1.50
12:27:44 AM    -15.50      0.00      0.00
12:27:46 AM      0.00      1.00     -0.50
12:27:48 AM      0.00      0.00      2.00
12:27:50 AM     15.50      0.00      0.50
12:27:52 AM    -15.50      1.00     -1.00
12:27:54 AM      0.00      0.00      1.50
12:27:56 AM      0.00      0.00      0.49
12:27:58 AM      0.00      1.00     -1.00
12:28:00 AM     15.50      0.00      1.50
12:28:02 AM    -15.50      0.00      0.00
12:28:04 AM      8.00      1.00      0.00
12:28:06 AM      0.00      0.00      1.00
12:28:08 AM      1.00      0.00      0.00
12:28:10 AM      0.00      1.00      0.50
12:28:12 AM     -3.00      0.00      0.50
12:28:14 AM    -15.50      0.00      1.00
12:28:16 AM     -1.00      1.00      0.50
12:28:18 AM     -1.00      0.00      1.50
12:28:20 AM     15.50      0.00      0.50
12:28:22 AM     -9.50      1.00     -1.00
12:28:24 AM     13.50      0.00      1.50
12:28:26 AM    -17.50      0.00      0.50
12:28:28 AM      1.00      1.50      0.00
12:28:30 AM      0.00      0.00      1.00
12:28:32 AM     -1.00      0.00      0.00
12:28:34 AM     -1.00      1.00      0.00
12:28:36 AM     14.50      0.00      1.00
12:28:38 AM    -16.50      0.00      0.50
12:28:40 AM     14.50      1.00     -1.00
12:28:42 AM     -2.00      0.00      2.00
12:28:44 AM      0.00      0.00      0.50
12:28:46 AM     -9.50      1.00     -0.50
12:28:48 AM    -14.50      0.00      3.00
12:28:50 AM      2.00      0.00      0.00
12:28:52 AM    -18.50      1.00      0.50
12:28:54 AM      0.00      0.00      2.00
12:28:56 AM    -15.50      0.00      0.00
12:28:58 AM     15.50      1.00     -0.50
12:29:00 AM    -14.50      0.00      1.50
12:29:02 AM     -1.00      0.00      0.50
12:29:04 AM     16.50      1.00      0.00
12:29:06 AM      1.00      0.00      0.50
12:29:08 AM     -1.98      0.00      0.50
12:29:10 AM    -14.50      1.00     -1.00
12:29:12 AM     14.50      0.00      1.50
12:29:14 AM     -2.00      0.00      0.00
12:29:16 AM      1.00      1.00     -0.50
12:29:18 AM    -12.50      0.00      2.00
12:29:20 AM     -2.00      0.00      1.00
12:29:22 AM     -1.95      1.46      0.00
12:29:24 AM      0.00      0.00      0.50
12:29:26 AM      2.00      0.00      1.00
12:29:28 AM     -5.00      1.00     -0.50
12:29:30 AM      3.00      0.00      1.00
12:29:32 AM     78.50      1.00      0.00
12:29:34 AM     -1.00      0.00      1.50
12:29:36 AM      0.00      0.00      0.50
12:29:38 AM      2.00      1.00      0.00
12:29:40 AM      2.00      0.00      1.00
12:29:42 AM      1.00      0.00      0.50
12:29:44 AM      2.00      1.00      0.00
12:29:46 AM      0.00      0.00      1.50
12:29:48 AM      0.00      0.00      0.00
12:29:50 AM     -2.00      1.00      0.50
12:29:52 AM      0.00      0.00      0.50
12:29:54 AM      0.00      0.00      0.50
12:29:56 AM      1.00      1.00      0.00
12:29:58 AM      0.00      0.00      0.50
12:30:00 AM     -1.00      0.00      0.50
12:30:02 AM     -1.00      1.00     -1.00
12:30:04 AM      1.00      0.00      1.50
12:30:06 AM   6152.50      0.00      0.50
12:30:08 AM     -0.99      0.99     -0.99
12:30:10 AM    -14.50      0.00      1.50
12:30:12 AM     -1.00      0.50      4.50
12:30:14 AM     15.50      1.00      2.00
12:30:16 AM    -15.35      0.00      1.49
12:30:18 AM     -2.00      0.00      0.50
12:30:20 AM     18.50      1.00      0.00
12:30:22 AM      2.00      0.00      1.00
12:30:24 AM     -2.00      0.00      0.50
12:30:26 AM      1.00      1.00     -1.00
12:30:28 AM      1.00      0.00      1.50
12:30:30 AM      0.00      0.00      0.50
12:30:32 AM    -17.50      1.00     -1.00
12:30:34 AM     14.50      0.00      2.00
12:30:36 AM   6110.00      0.00      0.00
12:30:38 AM     -1.00      1.00      0.00
12:30:40 AM     -2.00      0.00      1.00
12:30:42 AM      1.00      0.00      0.50
12:30:44 AM      0.00      1.00     -0.50
12:30:46 AM     -1.00      0.00      1.50
12:30:48 AM    -40.00      0.00      2.50
12:30:50 AM    -14.50      1.00     -1.00
12:30:52 AM     16.50      0.00      1.50
12:30:54 AM     -2.00      0.00      1.00
12:30:56 AM   6139.00      1.00     -1.00
12:30:58 AM     -3.00      0.00      1.50
12:31:00 AM      3.00      0.00      0.00
12:31:02 AM     15.50      1.00      0.00
12:31:04 AM    -21.50      0.00      1.00
12:31:06 AM      6.00      0.00      0.50
12:31:08 AM      1.00      1.00      0.50
12:31:10 AM   6014.00      0.00      0.00
12:31:12 AM     -1.00      0.00      0.50
12:31:14 AM      1.00      1.00      0.00
12:31:16 AM     -2.00      0.00      1.50
12:31:18 AM    -16.50      0.00      0.50
12:31:20 AM     20.50      1.00      0.50
12:31:22 AM     -3.00      0.50      0.00
12:31:24 AM   5859.00      0.00      0.50
12:31:26 AM    -19.50      1.00      1.00
12:31:28 AM      5.00      0.00      0.00
12:31:30 AM     -3.00      0.00      0.50
12:31:32 AM      2.00      1.00     -0.50
12:31:34 AM      5.00      0.00      2.50
12:31:36 AM   5729.00      0.00      0.50
12:31:38 AM      0.00      1.00     -1.00
12:31:40 AM      1.00      0.00      1.50
12:31:42 AM     -8.00      0.00      0.50
12:31:44 AM      8.00      1.00     -1.00
12:31:46 AM     15.50      0.00      2.00
12:31:48 AM    -13.50      0.00      0.00
12:31:50 AM     -1.95      0.98      0.00
12:31:52 AM      6.00      0.00      1.50
12:31:54 AM     -6.00      0.00      0.50
12:31:56 AM      0.00      1.00     -0.50
12:31:58 AM    -22.50      0.00      1.00
12:32:00 AM      9.00      0.00      0.50
12:32:02 AM   6426.50      1.00     -0.50
12:32:04 AM      8.00      0.00      1.50
12:32:06 AM    -22.50      0.00      0.50
12:32:08 AM     22.50      1.00     -1.00
12:32:10 AM    -17.50      0.00      1.50
12:32:12 AM     16.50      0.00      0.00
12:32:14 AM   5423.00      1.00      1.00
12:32:16 AM      7.00      0.00      1.50
12:32:18 AM     -5.00      0.00      0.50
12:32:20 AM     -3.00      1.00      0.50
12:32:22 AM      0.00      0.00      0.00
12:32:24 AM   5228.50      0.00      0.50
12:32:26 AM     -7.00      1.00     -1.00
12:32:28 AM      6.00      0.00      1.50
12:32:30 AM     -5.00      0.00      0.50
12:32:32 AM      0.00      1.00     -1.00
12:32:34 AM   5008.50      0.00      1.50
12:32:36 AM    -21.50      0.00      0.00
12:32:38 AM      3.00      1.00      0.50
12:32:40 AM      4.00      0.00      0.50
12:32:42 AM     -4.00      0.00      0.50
12:32:44 AM      2.00      1.00      1.50
12:32:46 AM   4787.50      0.00      0.00
12:32:48 AM   -116.50      0.00      4.00
12:32:50 AM    -20.50      1.00     -1.00
12:32:52 AM   4685.00      0.00      1.50
12:32:54 AM      8.00      0.00      2.00
12:32:56 AM    -22.50      1.00     -1.00
12:32:58 AM   4418.50      0.00      1.50
12:33:00 AM     -1.00      0.00      0.00
12:33:02 AM     17.50      1.00      0.50
12:33:04 AM   4177.50      0.00      0.50
12:33:06 AM     12.50      0.00      0.50
12:33:08 AM    -28.50      1.00      0.50
12:33:10 AM   4006.00      0.00      0.00
12:33:12 AM    -15.50      0.00      0.50
12:33:14 AM     26.50      1.00     -0.50
12:33:16 AM   3750.50      0.00      2.00
12:33:18 AM     32.00      0.00      0.50
12:33:20 AM      4.00      1.00     -1.00
12:33:22 AM   3586.50      0.00      1.50
12:33:24 AM    -31.50      0.00      0.00
12:33:26 AM   3394.50      1.00      0.50
12:33:28 AM     31.50      0.00      1.00
12:33:30 AM     -7.00      0.00      0.00
12:33:32 AM   3220.00      1.00      0.50
12:33:34 AM     -3.00      0.00      0.50
12:33:36 AM     30.50      0.00      1.50
12:33:38 AM     -3.00      1.00      0.00
12:33:40 AM     -6.00      0.00      0.50
12:33:42 AM      0.00      0.00      0.50
12:33:44 AM    -25.50      1.00      0.50
12:33:46 AM     18.50      0.00      0.50
12:33:48 AM    -13.50      0.00      0.00
12:33:50 AM      6.00      1.00      1.00
12:33:52 AM     -4.00      0.00      1.00
12:33:54 AM     17.50      0.00      0.00
12:33:56 AM     -6.50      1.00      0.50
12:33:58 AM     -7.00      0.00      0.50
12:34:00 AM     17.50      0.00      0.50
12:34:02 AM      1.00      1.00     -1.00
12:34:04 AM    -20.50      0.00      2.00
12:34:06 AM   -207.00      0.00      0.50
12:34:08 AM    -13.00      1.00     -0.50
12:34:10 AM     24.50      0.00      1.00
12:34:12 AM    -20.50      0.00      1.50
12:34:14 AM      0.00      1.00      0.50
12:34:16 AM     11.00      0.00      2.00
12:34:18 AM    -72.00      0.50      0.50
12:34:20 AM      0.00      1.00     -0.50
12:34:22 AM     39.50      0.00      1.00
12:34:24 AM     -3.50      0.00      0.00
12:34:26 AM      7.50      1.00     -0.50
12:34:28 AM   1068.50      0.00      1.00
12:34:30 AM      1.00      0.00      1.00
12:34:32 AM     53.50      1.00     -0.50
12:34:34 AM     -5.00      0.00      1.00
12:34:36 AM      1.00      0.00      0.50
12:34:38 AM   3050.50      1.00     -1.00
12:34:40 AM      2.00      0.00      1.50
12:34:42 AM     62.00      0.00      1.50
12:34:44 AM     -2.00      1.00     -1.00
12:34:46 AM   2627.00      0.00      1.50
12:34:48 AM    -94.00      0.00      5.50
12:34:50 AM     45.50      1.00     -0.50
12:34:52 AM     -8.50      0.00      1.00
12:34:54 AM   1983.00      0.00      1.00
12:34:56 AM    312.50      1.00      0.00
12:34:58 AM   1625.00      0.00      0.50
12:35:00 AM      5.50      0.00      0.50
12:35:02 AM    320.00      1.00      0.00
12:35:04 AM     -7.00      0.00      0.50
12:35:06 AM   1036.50      0.00      1.00
12:35:08 AM     15.00      1.00      0.00
12:35:10 AM    -15.00      0.00      0.50
12:35:12 AM   -252.50      1.00      5.00
12:35:14 AM     -1.00      0.00      1.50
12:35:16 AM     16.50      0.00      0.00
12:35:18 AM    -13.50      1.00     -0.50
12:35:20 AM   -327.00      0.00      1.50
12:35:22 AM      1.00      0.00      0.00
12:35:24 AM  -1836.00      1.00     -0.50
12:35:26 AM     10.00      0.00      1.00
12:35:28 AM   -601.50      0.00      0.50
12:35:30 AM    -22.50      1.00      0.00
12:35:32 AM  -2328.00      0.00      1.00
12:35:34 AM     26.50      0.00      1.00
12:35:36 AM   -571.50      1.00      0.00
12:35:38 AM     -2.00      0.00      1.50
12:35:40 AM  -2274.50      0.00      0.00
12:35:42 AM    -24.50      1.00      0.50
12:35:44 AM   -355.50      0.00      1.50
12:35:46 AM      0.00      0.00      0.50
12:35:48 AM  -2315.50      1.00     -0.50
12:35:50 AM     41.00      0.00      1.00
12:35:52 AM   -311.00      0.00      0.50
12:35:54 AM      2.50      1.00      0.00
12:35:56 AM     25.50      0.00      1.00
12:35:58 AM    -75.50      0.00      0.50
12:36:00 AM     -1.00      1.00     -1.00
12:36:02 AM    -30.00      0.00      2.00
12:36:04 AM     14.50      0.00      0.00
12:36:06 AM     13.50      1.00     -0.50
12:36:08 AM    -13.50      0.00      1.50
12:36:10 AM    -38.00      0.00      0.00
12:36:12 AM     24.50      1.00      0.50
12:36:14 AM    -12.50      0.00      1.00
12:36:16 AM     12.50      0.00      1.00
12:36:18 AM    -11.50      1.00      0.00
12:36:20 AM    -10.00      0.00      1.00
12:36:22 AM      3.00      0.00      0.50
12:36:24 AM     23.50      1.00     -1.00
12:36:26 AM    -41.00      0.00      1.50
12:36:28 AM     94.00      0.00      0.00
12:36:30 AM    -11.00      1.00     -0.50
12:36:32 AM     46.00      0.00      1.50
12:36:34 AM    -41.00      0.00      0.00
12:36:36 AM     19.50      1.00      0.00
12:36:38 AM     22.50      0.00      1.00
12:36:40 AM    267.00      0.00      1.00
12:36:42 AM     54.50      1.00      0.00
12:36:44 AM      1.00      0.00      1.00
12:36:46 AM    319.00      0.00      0.50
12:36:48 AM    -89.50      1.00      7.00
12:36:50 AM      7.50      0.00      0.50
12:36:52 AM      3.00      0.00      0.00
12:36:54 AM    309.00      1.00      1.00
12:36:56 AM     -1.00      0.00      1.50
12:36:58 AM     72.91      0.99     -0.99
12:37:00 AM     -6.00      0.00      2.00
12:37:02 AM      2.00      0.00      0.00
12:37:04 AM    -30.00      1.00      0.50
12:37:06 AM     -2.00      0.00      1.50
12:37:08 AM    -21.50      0.00      0.00
12:37:10 AM     11.50      1.00      1.00
12:37:12 AM   -284.50      0.00      0.50
12:37:14 AM   -167.50      0.00      0.50
12:37:16 AM  -2173.00      1.00     -1.00
12:37:18 AM   -573.50      0.00      1.50
12:37:20 AM      4.00      0.00      0.50
12:37:22 AM  -3394.50      1.00     -1.00
12:37:24 AM      5.00      0.00      1.50
12:37:26 AM   -658.00      0.00      0.00
12:37:28 AM      4.00      1.00     -0.50
12:37:30 AM  -3534.00      0.00      1.50
12:37:32 AM     15.50      0.00      0.50
12:37:34 AM   -639.50      1.00      0.00
12:37:36 AM      2.00      0.00      1.00
12:37:38 AM  -1087.00      0.00      0.50
12:37:40 AM  -2344.28      1.00     -0.50
12:37:42 AM      3.00      0.00      1.50
12:37:44 AM   -423.50      0.00      0.50
12:37:46 AM     -9.00      1.00     -1.00
12:37:48 AM  -3277.00      0.00      1.50
12:37:50 AM      3.00      0.00      0.00
12:37:52 AM   -326.50      1.00      0.50
12:37:54 AM    -14.50      0.00      2.00
12:37:56 AM     -5.00      0.00      0.50
12:37:58 AM  -3400.00      1.00     -0.50
12:38:00 AM      8.50      0.00      1.00
12:38:02 AM    -30.00      0.00      0.50
12:38:04 AM     -4.00      1.00     -1.00
12:38:06 AM    -17.50      0.00      1.50
12:38:08 AM     -2.00      0.00      0.50
12:38:10 AM    148.50      1.00     -0.50
12:38:12 AM      3.00      0.00      1.50
12:38:14 AM     50.50      0.00      1.00
12:38:16 AM    -28.50      1.00      0.50
12:38:18 AM    223.00      0.00      1.50
12:38:20 AM      4.00      0.00      0.50
12:38:22 AM     37.50      1.00     -0.50
12:38:24 AM     -2.00      0.00      1.00
12:38:26 AM    360.50      0.00      0.50
12:38:28 AM     59.00      1.00     -0.50
12:38:30 AM      3.00      0.00      1.50
12:38:32 AM    374.00      0.00      0.50
12:38:34 AM     12.50      1.00      0.00
12:38:36 AM     38.00      0.00      0.50
12:38:38 AM    323.50      0.00      0.00
12:38:40 AM      3.00      1.00      1.00
12:38:42 AM      1.50      0.00      1.00
12:38:44 AM    324.50      0.00      0.50
12:38:46 AM     -1.00      1.00      0.00
12:38:48 AM     -8.00      0.00      5.00
12:38:50 AM    -24.50      0.00      4.50
12:38:52 AM    -25.50      1.00     -1.00
12:38:54 AM    357.00      0.00      2.00
12:38:56 AM    -14.00      0.00      0.50
12:38:58 AM     25.50      1.00     -1.00
12:39:00 AM    200.50      0.00      1.50
12:39:02 AM     -1.00      0.00      0.00
12:39:04 AM    277.00      1.00      0.00
12:39:06 AM      9.00      0.00      1.00
12:39:08 AM     -4.00      0.00      1.00
12:39:10 AM     -1.00      1.00     -0.50
12:39:12 AM   -197.00      0.00      1.50
12:39:14 AM     11.00      0.00      0.50
12:39:16 AM  -2968.00      1.00     -0.50
12:39:18 AM    -14.00      0.00      1.00
12:39:20 AM   -537.50      0.00      0.50
12:39:22 AM      1.00      1.00     -1.00
12:39:24 AM  -3985.50      0.00      1.50
12:39:26 AM     -2.00      0.00      0.00
12:39:28 AM   -516.00      1.00      1.00
12:39:30 AM    -29.50      0.00      0.50
12:39:32 AM  -1856.00      0.00      0.50
12:39:34 AM  -2281.50      1.00      0.00
12:39:36 AM      9.00      0.00      2.00
12:39:38 AM   -569.95      0.00      0.99
12:39:40 AM    -25.00      1.00     -1.00
12:39:42 AM  -4257.50      0.00      1.50
12:39:44 AM      6.50      0.00      0.50
12:39:46 AM   -636.50      1.00     -0.50
12:39:48 AM     35.00      0.00      1.50
12:39:50 AM    -26.50      0.00      0.00
12:39:52 AM  -4267.00      1.00     -0.50
12:39:54 AM     19.50      0.00      1.50
12:39:56 AM   -491.50      0.00      0.00
12:39:58 AM      5.00      1.00      0.00
12:40:00 AM     -3.00      0.00      1.00
12:40:02 AM  -4278.00      0.00      0.50
12:40:04 AM      9.00      1.00     -1.00
12:40:06 AM    -17.00      0.00      1.50
12:40:08 AM   -514.43      0.00      1.49
12:40:10 AM    -19.50      1.00     -0.50
12:40:12 AM     15.50      0.00      6.50
12:40:14 AM    -21.50      0.00      0.50
12:40:16 AM    -59.00      1.00      0.50
12:40:18 AM     -6.00      0.00      0.50
12:40:20 AM    -17.50      0.00      0.50
12:40:22 AM      0.00      1.00      0.00
12:40:24 AM      2.00      0.00      1.00
12:40:26 AM     20.50      0.00      0.50
12:40:28 AM      6.00      1.00     -0.50
12:40:30 AM    -23.50      0.00      1.00
12:40:32 AM      0.00      0.00      0.50
12:40:34 AM     25.50      1.00     -1.00
12:40:36 AM      2.00      0.00      1.50
12:40:38 AM    -66.00      0.00      0.50
12:40:40 AM     36.00      1.00      0.00
12:40:42 AM     -7.00      0.00      1.50
12:40:44 AM     39.00      0.00      0.50
12:40:46 AM    -34.50      1.00      0.00
12:40:48 AM   -427.00      0.00      1.00
12:40:50 AM      9.00      0.00     11.00
12:40:52 AM     24.00      1.00     -1.00
12:40:54 AM   -251.50      0.00      2.00
12:40:56 AM   -104.00      0.00      1.50
12:40:58 AM     10.50      1.00     -1.00
12:41:00 AM     -4.50      0.00      1.50
12:41:02 AM  -1764.00      0.00      0.00
12:41:04 AM    -30.00      1.00     -0.50
12:41:06 AM   -796.00      0.00      1.50
12:41:08 AM     -7.00      0.00      0.50
12:41:10 AM  -6184.50      1.00      1.00
12:41:12 AM     -7.00      0.00      0.00
12:41:14 AM  -1040.50      0.00      0.50
12:41:16 AM  -7826.50      1.00     -1.00
12:41:18 AM      5.00      0.00      1.50
12:41:20 AM   -787.00      0.00      0.50
12:41:22 AM     12.00      1.00     -1.00
12:41:24 AM  -8104.50      0.00      1.50
12:41:26 AM     -7.00      0.00      0.00
12:41:28 AM   -700.50      1.00      0.50
12:41:30 AM     -5.00      0.00      0.50
12:41:32 AM  -8258.00      1.00     -1.00
12:41:34 AM     -2.00      0.00      2.50
12:41:36 AM   -965.00      0.00      0.50
12:41:38 AM    -31.00      1.00      1.00
12:41:40 AM   -157.00      0.00      0.00
12:41:42 AM  -8182.00      0.00      1.00
12:41:44 AM    -37.00      1.00      0.50
12:41:46 AM   -697.50      0.00      0.00
12:41:48 AM     -3.00      0.00      0.50
12:41:50 AM  -1692.50      1.00     -0.50
12:41:52 AM     23.50      0.00      1.50
12:41:54 AM   -400.00      0.00      0.50
12:41:56 AM    -18.50      1.00     -1.00
12:41:58 AM     25.50      0.00      2.50
12:42:00 AM   -181.50      0.00      0.00
12:42:02 AM     36.00      1.00      0.50
12:42:04 AM   -146.50      0.00      0.00
12:42:06 AM      8.00      0.00      1.00
12:42:08 AM    -85.50      1.00      1.50
12:42:10 AM     -1.00      0.00      0.00
12:42:12 AM      4.00      0.00      0.50
