Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM    proc/s   cswch/s
12:26:56 AM      0.00   1743.50
12:26:58 AM      0.00   1784.50
12:27:00 AM      0.00   1752.50
12:27:02 AM      0.00   1707.50
12:27:04 AM      0.00   1780.50
12:27:06 AM      0.00   1766.50
12:27:08 AM      0.00   1708.50
12:27:10 AM      0.00   1749.50
12:27:12 AM      0.00   1821.50
12:27:14 AM      0.00   1702.50
12:27:16 AM      0.00   1830.00
12:27:18 AM      0.00   1741.00
12:27:20 AM      0.00   1723.50
12:27:22 AM      0.00   1846.00
12:27:24 AM      0.00   1777.00
12:27:26 AM      0.00   1676.50
12:27:28 AM      0.00   1675.50
12:27:30 AM      0.00   1746.50
12:27:32 AM      0.00   1826.50
12:27:34 AM      0.00   1797.00
12:27:36 AM      0.00   1855.50
12:27:38 AM      0.00   1749.00
12:27:40 AM      0.00   1795.50
12:27:42 AM      0.00   1767.00
12:27:44 AM      0.00   1703.00
12:27:46 AM      0.00   1765.50
12:27:48 AM      0.00   1707.00
12:27:50 AM      0.00   1734.00
12:27:52 AM      0.00   1777.50
12:27:54 AM      0.00   1749.00
12:27:56 AM      0.00   1700.50
12:27:58 AM      0.00   1754.68
12:28:00 AM      0.00   1706.50
12:28:02 AM      0.00   1657.50
12:28:04 AM      0.00   1723.50
12:28:06 AM      0.00   1714.00
12:28:08 AM      0.00   1655.50
12:28:10 AM      0.00   1714.83
12:28:12 AM      0.00   1662.25
12:28:14 AM      0.00   1734.50
12:28:16 AM      0.00   1691.00
12:28:18 AM      0.00   1667.00
12:28:20 AM      0.00   1625.00
12:28:22 AM      0.00   1855.00
12:28:24 AM      0.00   1795.50
12:28:26 AM      0.00   1689.00
12:28:28 AM      0.00   1809.00
12:28:30 AM      0.00   1767.00
12:28:32 AM      0.00   1732.00
12:28:34 AM      0.00   1789.00
12:28:36 AM      0.00   1781.00
12:28:38 AM      0.00   1742.00
12:28:40 AM      0.00   1743.00
12:28:42 AM      0.00   1727.50
12:28:44 AM      0.00   1799.50
12:28:46 AM      0.00   1751.50
12:28:48 AM      6.00   2196.00
12:28:50 AM      0.00   2108.00
12:28:52 AM      0.00   2162.50
12:28:54 AM      0.00   2113.50
12:28:56 AM      0.00   2094.00
12:28:58 AM      0.00   1875.00
12:29:00 AM      0.00   2179.00
12:29:02 AM      0.00   1949.50
12:29:04 AM      0.00   2149.00
12:29:06 AM      0.00   2189.50
12:29:08 AM      0.00   2125.00
12:29:10 AM      0.00   2079.50
12:29:12 AM      0.00   2075.00
12:29:14 AM      0.00   2168.00
12:29:16 AM      0.00   2067.00
12:29:18 AM      0.00   2088.00
12:29:20 AM      0.00   2023.50
12:29:22 AM      0.00   2100.50
12:29:24 AM      0.00   2018.50
12:29:26 AM      0.00   2199.50
12:29:28 AM      0.00   2196.00
12:29:30 AM      0.00   2065.00
12:29:32 AM      0.00   2187.00
12:29:34 AM      0.00   2272.00
12:29:36 AM      0.00   2024.50
12:29:38 AM      0.00   2065.17
12:29:40 AM      0.00   2161.50
12:29:42 AM      0.00   2202.00
12:29:44 AM      0.00   2043.00
12:29:46 AM      0.00   2021.50
12:29:48 AM      0.00   2006.50
12:29:50 AM      0.00   2126.00
12:29:52 AM      0.50   2117.00
12:29:54 AM      0.50   2155.00
12:29:56 AM      0.00   1971.50
12:29:58 AM      0.00   2086.50
12:30:00 AM      0.00   2165.00
12:30:02 AM      0.00   1937.00
12:30:04 AM      0.00   1996.50
12:30:06 AM      0.00   2125.00
12:30:08 AM      0.00   2112.50
12:30:10 AM      0.00   2166.00
12:30:12 AM      0.00   2104.50
12:30:14 AM      0.00   2112.50
12:30:16 AM      0.00   1993.50
12:30:18 AM      0.00   2155.50
12:30:20 AM      0.00   2144.00
12:30:22 AM      0.00   2176.50
12:30:24 AM      0.00   2041.50
12:30:26 AM      0.00   2081.50
12:30:28 AM      0.00   2212.50
12:30:30 AM      0.00   1975.50
12:30:32 AM      0.00   2007.00
12:30:34 AM      0.00   1913.50
12:30:36 AM      0.00   2065.00
12:30:38 AM      0.00   2089.50
12:30:40 AM      0.00   2095.00
12:30:42 AM      0.00   2077.00
12:30:44 AM      0.00   2012.14
12:30:46 AM      0.00   2099.00
12:30:48 AM     11.00   3502.00
12:30:50 AM      0.00   4178.00
12:30:52 AM      0.00   3771.50
12:30:54 AM      0.00   3861.00
12:30:56 AM      0.00   3459.00
12:30:58 AM      0.00   3537.50
12:31:00 AM      0.00   3886.50
12:31:02 AM      0.00   3436.50
12:31:04 AM      0.00   3837.00
12:31:06 AM      0.00   3779.00
12:31:08 AM      0.00   3912.00
12:31:10 AM      0.00   3697.00
12:31:12 AM      0.00   3647.00
12:31:14 AM      0.00   3689.50
12:31:16 AM      0.00   3804.43
12:31:18 AM      0.00   3553.00
12:31:20 AM      0.00   3886.00
12:31:22 AM      0.00   3705.00
12:31:24 AM      0.00   3538.00
12:31:26 AM      0.00   4010.00
12:31:28 AM      0.00   3410.50
12:31:30 AM      0.00   3749.00
12:31:32 AM      0.00   3752.00
12:31:34 AM      0.00   3736.00
12:31:36 AM      0.00   3720.50
12:31:38 AM      0.00   3996.00
12:31:40 AM      0.00   3804.50
12:31:42 AM      0.00   4106.50
12:31:44 AM      0.00   4039.50
12:31:46 AM      0.00   3609.00
12:31:48 AM      0.00   3736.32
12:31:50 AM      0.00   3642.00
12:31:52 AM      0.00   3893.00
12:31:54 AM      0.00   3626.00
12:31:56 AM      0.00   3964.00
12:31:58 AM      0.00   3960.00
12:32:00 AM      0.00   3702.50
12:32:02 AM      0.00   3440.00
12:32:04 AM      0.00   3669.50
12:32:06 AM      0.00   3719.00
12:32:08 AM      0.00   3509.50
12:32:10 AM      0.00   3633.00
12:32:12 AM      0.00   3554.00
12:32:14 AM      0.00   4046.00
12:32:16 AM      0.00   4151.00
12:32:18 AM      0.00   4149.50
12:32:20 AM      0.00   3937.00
12:32:22 AM      0.00   3747.50
12:32:24 AM      0.00   3847.50
12:32:26 AM      0.00   3819.50
12:32:28 AM      0.00   4000.50
12:32:30 AM      0.00   3635.00
12:32:32 AM      0.00   3794.50
12:32:34 AM      0.00   3507.00
12:32:36 AM      0.00   3749.50
12:32:38 AM      0.00   3890.00
12:32:40 AM      0.00   3845.00
12:32:42 AM      0.00   3747.50
12:32:44 AM      0.00   3838.00
12:32:46 AM      0.00   3838.00
12:32:48 AM     15.61   5299.02
12:32:50 AM      0.00   5457.50
12:32:52 AM      0.00   5421.00
12:32:54 AM      0.00   5616.00
12:32:56 AM      0.00   5394.00
12:32:58 AM      0.00   5110.50
12:33:00 AM      0.00   4909.80
12:33:02 AM      0.00   5271.50
12:33:04 AM      0.00   5081.50
12:33:06 AM      0.00   5057.50
12:33:08 AM      0.00   5751.50
12:33:10 AM      0.00   5140.00
12:33:12 AM      0.00   5794.50
12:33:14 AM      0.00   5072.00
12:33:16 AM      0.00   5527.00
12:33:18 AM      0.00   5207.50
12:33:20 AM      0.00   5959.50
12:33:22 AM      0.00   5039.00
12:33:24 AM      0.00   5553.00
12:33:26 AM      0.00   5271.50
12:33:28 AM      0.00   5337.50
12:33:30 AM      0.00   5695.50
12:33:32 AM      0.00   5290.50
12:33:34 AM      0.00   5681.50
12:33:36 AM      0.00   5466.50
12:33:38 AM      0.00   5864.50
12:33:40 AM      0.00   4927.50
12:33:42 AM      0.00   5502.50
12:33:44 AM      0.00   5386.00
12:33:46 AM      0.00   5110.50
12:33:48 AM      0.00   5299.00
12:33:50 AM      0.00   5421.00
12:33:52 AM      0.00   5744.50
12:33:54 AM      0.00   5632.00
12:33:56 AM      0.00   5522.00
12:33:58 AM      0.00   5714.00
12:34:00 AM      0.00   5096.00
12:34:02 AM      0.00   4963.00
12:34:04 AM      0.00   5485.50
12:34:06 AM      0.00   5754.00
12:34:08 AM      0.00   5133.00
12:34:10 AM      0.00   5006.00
12:34:12 AM      0.00   5512.50
12:34:14 AM      0.00   5632.50
12:34:16 AM      0.00   5388.00
12:34:18 AM      0.00   5344.50
12:34:20 AM      0.00   5338.00
12:34:22 AM      0.00   5320.00
12:34:24 AM      0.00   4817.50
12:34:26 AM      0.00   4552.00
12:34:28 AM      0.00   4805.00
12:34:30 AM      0.00   5318.50
12:34:32 AM      0.00   5431.00
12:34:34 AM      0.00   5288.50
12:34:36 AM      0.00   5006.00
12:34:38 AM      0.00   4936.00
12:34:40 AM      0.00   5731.00
12:34:42 AM      0.00   5490.00
12:34:44 AM      0.00   4821.50
12:34:46 AM      0.00   4922.50
12:34:48 AM     21.00   5778.00
12:34:50 AM      0.00   6767.50
12:34:52 AM      0.00   7149.50
12:34:54 AM      0.00   6827.50
12:34:56 AM      0.00   6840.00
12:34:58 AM      0.00   6256.50
12:35:00 AM      0.00   6560.00
12:35:02 AM      1.50   6301.00
12:35:04 AM      0.00   6845.50
12:35:06 AM      0.00   6686.50
12:35:08 AM      0.00   6506.00
12:35:10 AM      0.00   6976.50
12:35:12 AM      0.00   6943.50
12:35:14 AM      0.00   7401.00
12:35:16 AM      0.00   5896.00
12:35:18 AM      0.00   7222.50
12:35:20 AM      0.00   6647.50
12:35:22 AM      0.00   7043.50
12:35:24 AM      0.00   6449.00
12:35:26 AM      0.00   6851.00
12:35:28 AM      0.00   6417.50
12:35:30 AM      0.00   6823.50
12:35:32 AM      0.00   6513.00
12:35:34 AM      0.00   6403.50
12:35:36 AM      0.00   6238.50
12:35:38 AM      0.00   7083.00
12:35:40 AM      0.00   6346.00
12:35:42 AM      0.00   7183.00
12:35:44 AM      0.00   6489.00
12:35:46 AM      0.00   6160.00
12:35:48 AM      0.00   6722.00
12:35:50 AM      0.00   5912.50
12:35:52 AM      0.00   6605.00
12:35:54 AM      0.00   6720.50
12:35:56 AM      0.00   6603.00
12:35:58 AM      0.00   7060.00
12:36:00 AM      0.00   7004.00
12:36:02 AM      0.00   5862.00
12:36:04 AM      0.00   6394.00
12:36:06 AM      0.00   6530.00
12:36:08 AM      0.00   7058.00
12:36:10 AM      0.00   6828.50
12:36:12 AM      0.00   6948.00
12:36:14 AM      0.00   6610.50
12:36:16 AM      0.00   7026.50
12:36:18 AM      0.00   6649.50
12:36:20 AM      0.00   6938.00
12:36:22 AM      0.00   6822.89
12:36:24 AM      0.00   6362.00
12:36:26 AM      0.00   7002.50
12:36:28 AM      0.00   6686.00
12:36:30 AM      0.00   6549.00
12:36:32 AM      0.00   7030.00
12:36:34 AM      0.00   7090.50
12:36:36 AM      0.00   6943.50
12:36:38 AM      0.00   6743.00
12:36:40 AM      0.00   7324.50
12:36:42 AM      0.00   6828.50
12:36:44 AM      0.00   6840.00
12:36:46 AM      0.00   6960.00
12:36:48 AM     26.00   6976.00
12:36:50 AM      0.00   7872.50
12:36:52 AM      0.00   7856.50
12:36:54 AM      0.00   7575.00
12:36:56 AM      0.00   7748.00
12:36:58 AM      0.00   7626.00
12:37:00 AM      0.00   7665.00
12:37:02 AM      0.00   7219.50
12:37:04 AM      0.00   7975.50
12:37:06 AM      0.00   7421.50
12:37:08 AM      0.00   6884.50
12:37:10 AM      0.00   7444.00
12:37:12 AM      0.00   7667.00
12:37:14 AM      0.00   7726.00
12:37:16 AM      0.00   7469.00
12:37:18 AM      0.00   7365.50
12:37:20 AM      0.00   7635.00
12:37:22 AM      0.00   7133.50
12:37:24 AM      0.00   7440.50
12:37:26 AM      0.00   7516.00
12:37:28 AM      0.00   7684.00
12:37:30 AM      0.00   7764.00
12:37:32 AM      0.00   7848.00
12:37:34 AM      0.00   7605.00
12:37:36 AM      0.00   7837.50
12:37:38 AM      0.00   7680.50
12:37:40 AM      0.00   7406.50
12:37:42 AM      0.00   7821.00
12:37:44 AM      0.00   7730.50
12:37:46 AM      0.00   7940.00
12:37:48 AM      0.00   7887.00
12:37:50 AM      0.00   7923.50
12:37:52 AM      0.00   7489.50
12:37:54 AM      0.00   7199.50
12:37:56 AM      0.00   7695.00
12:37:58 AM      0.00   7741.00
12:38:00 AM      0.00   7445.00
12:38:02 AM      0.00   7295.50
12:38:04 AM      0.00   7695.00
12:38:06 AM      0.00   7542.50
12:38:08 AM      0.00   7918.50
12:38:10 AM      0.00   7446.00
12:38:12 AM      0.00   7945.50
12:38:14 AM      0.00   7651.50
12:38:16 AM      0.00   7933.50
12:38:18 AM      0.00   7837.50
12:38:20 AM      0.00   7240.00
12:38:22 AM      0.00   7791.50
12:38:24 AM      0.00   7608.42
12:38:26 AM      0.00   7367.50
12:38:28 AM      0.00   7936.50
12:38:30 AM      0.00   7983.00
12:38:32 AM      0.00   7232.50
12:38:34 AM      0.00   7765.00
12:38:36 AM      0.00   7851.50
12:38:38 AM      0.00   7754.00
12:38:40 AM      0.00   7812.00
12:38:42 AM      0.00   7652.50
12:38:44 AM      0.00   7824.00
12:38:46 AM      0.00   8174.50
12:38:48 AM     31.00   7299.50
12:38:50 AM      0.00   8905.00
12:38:52 AM      0.00   9275.00
12:38:54 AM      0.00   8455.50
12:38:56 AM      0.00   9194.00
12:38:58 AM      0.00   8989.50
12:39:00 AM      0.00   8832.50
12:39:02 AM      0.00   8193.50
12:39:04 AM      0.00   8969.00
12:39:06 AM      0.00   9221.00
12:39:08 AM      0.00   8611.27
12:39:10 AM      0.00   8764.00
12:39:12 AM      0.00   8949.50
12:39:14 AM      0.00   8952.00
12:39:16 AM      0.00   8734.00
12:39:18 AM      0.00   8826.50
12:39:20 AM      0.00   8550.00
12:39:22 AM      0.00   8986.50
12:39:24 AM      0.00   8876.00
12:39:26 AM      0.00   8441.50
12:39:28 AM      0.00   8927.50
12:39:30 AM      0.00   8665.50
12:39:32 AM      0.00   8854.00
12:39:34 AM      0.00   8704.50
12:39:36 AM      0.00   9050.00
12:39:38 AM      0.00   8371.50
12:39:40 AM      0.00   8698.50
12:39:42 AM      0.00   9020.00
12:39:44 AM      0.00   8912.00
12:39:46 AM      0.00   8490.50
12:39:48 AM      0.00   8899.00
12:39:50 AM      0.00   8237.00
12:39:52 AM      0.00   8257.50
12:39:54 AM      0.00   8713.50
12:39:56 AM      0.00   8948.50
12:39:58 AM      0.00   8805.50
12:40:00 AM      0.00   8780.00
12:40:02 AM      0.00   8106.50
12:40:04 AM      0.00   9023.50
12:40:06 AM      0.00   8958.50
12:40:08 AM      0.00   8766.00
12:40:10 AM      0.00   8753.00
12:40:12 AM      0.00   8449.50
12:40:14 AM      0.00   8996.50
12:40:16 AM      0.00   8969.00
12:40:18 AM      0.00   9091.00
12:40:20 AM      0.00   9140.50
12:40:22 AM      0.00   8877.50
12:40:24 AM      0.00   8900.50
12:40:26 AM      0.00   8134.00
12:40:28 AM      0.00   8633.00
12:40:30 AM      0.00   9193.00
12:40:32 AM      0.00   8666.00
12:40:34 AM      0.00   8664.00
12:40:36 AM      0.00   9343.50
12:40:38 AM      0.00   8967.00
12:40:40 AM      0.00   8917.50
12:40:42 AM      0.00   8845.00
12:40:44 AM      0.00   8866.50
12:40:46 AM      0.00   8978.00
12:40:48 AM     49.50   8030.00
12:40:50 AM      1.50  13452.00
12:40:52 AM      0.00  13404.00
12:40:54 AM      0.00  13456.50
12:40:56 AM      0.00  13406.00
12:40:58 AM      0.00  13455.00
12:41:00 AM      0.00  13496.00
12:41:02 AM      0.00  13373.50
12:41:04 AM      0.00  13191.00
12:41:06 AM      0.00  13336.50
