Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM    totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
12:25:44 AM        72        13         5         0         0         2
12:25:46 AM        72        13         5         0         0         2
12:25:48 AM        72        13         5         0         0         2
12:25:50 AM        72        13         5         0         0         2
12:25:52 AM        72        13         5         0         0         2
12:25:54 AM        72        13         5         0         0         2
12:25:56 AM        72        13         5         0         0         2
12:25:58 AM        72        13         5         0         0         2
12:26:00 AM        72        13         5         0         0         2
12:26:02 AM        72        13         5         0         0         2
12:26:04 AM        72        13         5         0         0         2
12:26:06 AM        72        13         5         0         0         2
12:26:08 AM        72        13         5         0         0         2
12:26:10 AM        72        13         5         0         0         2
12:26:12 AM        72        13         5         0         0         2
12:26:14 AM        72        13         5         0         0         2
12:26:16 AM        72        13         5         0         0         2
12:26:18 AM        72        13         5         0         0         2
12:26:20 AM        72        13         5         0         0         2
12:26:22 AM        72        13         5         0         0         2
12:26:24 AM        72        13         5         0         0         2
12:26:26 AM        72        13         5         0         0         2
12:26:28 AM        72        13         5         0         0         2
12:26:30 AM        72        13         5         0         0         2
12:26:32 AM        72        13         5         0         0         2
12:26:34 AM        72        13         5         0         0         2
12:26:36 AM        72        13         5         0         0         2
12:26:38 AM        72        13         5         0         0         2
12:26:40 AM        72        13         5         0         0         2
12:26:42 AM        72        13         5         0         0         2
12:26:44 AM        72        13         5         0         0         2
12:26:46 AM        72        13         5         0         0         2
12:26:48 AM        77        18         5         0         0         2
12:26:50 AM        77        18         5         0         0         2
12:26:52 AM        77        18         5         0         0         2
12:26:54 AM        76        17         5         0         0         2
12:26:56 AM        76        17         5         0         0         2
12:26:58 AM        76        17         5         0         0         2
12:27:00 AM        76        17         5         0         0         2
12:27:02 AM        76        17         5         0         0         2
12:27:04 AM        76        17         5         0         0         2
12:27:06 AM        76        17         5         0         0         2
12:27:08 AM        76        17         5         0         0         2
12:27:10 AM        76        17         5         0         0         2
12:27:12 AM        76        17         5         0         0         2
12:27:14 AM        76        17         5         0         0         2
12:27:16 AM        76        17         5         0         0         2
12:27:18 AM        76        17         5         0         0         2
12:27:20 AM        76        17         5         0         0         2
12:27:22 AM        76        17         5         0         0         2
12:27:24 AM        76        17         5         0         0         2
12:27:26 AM        76        17         5         0         0         2
12:27:28 AM        76        17         5         0         0         2
12:27:30 AM        76        17         5         0         0         2
12:27:32 AM        76        17         5         0         0         2
12:27:34 AM        76        17         5         0         0         2
12:27:36 AM        76        17         5         0         0         2
12:27:38 AM        76        17         5         0         0         2
12:27:40 AM        76        17         5         0         0         2
12:27:42 AM        76        17         5         0         0         2
12:27:44 AM        76        17         5         0         0         2
12:27:46 AM        76        17         5         0         0         2
12:27:48 AM        76        17         5         0         0         2
12:27:50 AM        76        17         5         0         0         2
12:27:52 AM        76        17         5         0         0         2
12:27:54 AM        76        17         5         0         0         2
12:27:56 AM        76        17         5         0         0         2
12:27:58 AM        76        17         5         0         0         2
12:28:00 AM        76        17         5         0         0         2
12:28:02 AM        76        17         5         0         0         2
12:28:04 AM        76        17         5         0         0         2
12:28:06 AM        76        17         5         0         0         2
12:28:08 AM        76        17         5         0         0         2
12:28:10 AM        76        17         5         0         0         2
12:28:12 AM        76        17         5         0         0         2
12:28:14 AM        76        17         5         0         0         2
12:28:16 AM        76        17         5         0         0         2
12:28:18 AM        76        17         5         0         0         2
12:28:20 AM        76        17         5         0         0         2
12:28:22 AM        76        17         5         0         0         2
12:28:24 AM        76        17         5         0         0         2
12:28:26 AM        76        17         5         0         0         2
12:28:28 AM        76        17         5         0         0         2
12:28:30 AM        76        17         5         0         0         2
12:28:32 AM        76        17         5         0         0         2
12:28:34 AM        76        17         5         0         0         2
12:28:36 AM        76        17         5         0         0         2
12:28:38 AM        76        17         5         0         0         2
12:28:40 AM        76        17         5         0         0         2
12:28:42 AM        76        17         5         0         0         2
12:28:44 AM        76        17         5         0         0         2
12:28:46 AM        76        17         5         0         0         2
12:28:48 AM        79        20         5         0         0         2
12:28:50 AM        79        20         5         0         0         2
12:28:52 AM        79        20         5         0         0         2
12:28:54 AM        79        20         5         0         0         2
12:28:56 AM        79        20         5         0         0         2
12:28:58 AM        78        19         5         0         0         2
12:29:00 AM        78        19         5         0         0         2
12:29:02 AM        78        19         5         0         0         2
12:29:04 AM        78        19         5         0         0         2
12:29:06 AM        78        19         5         0         0         2
12:29:08 AM        78        19         5         0         0         2
12:29:10 AM        78        19         5         0         0         2
12:29:12 AM        78        19         5         0         0         2
12:29:14 AM        78        19         5         0         0         2
12:29:16 AM        78        19         5         0         0         2
12:29:18 AM        78        19         5         0         0         2
12:29:20 AM        78        19         5         0         0         2
12:29:22 AM        78        19         5         0         0         2
12:29:24 AM        78        19         5         0         0         2
12:29:26 AM        78        19         5         0         0         2
12:29:28 AM        78        19         5         0         0         2
12:29:30 AM        78        19         5         0         0         2
12:29:32 AM        78        19         5         0         0         2
12:29:34 AM        78        19         5         0         0         2
12:29:36 AM        78        19         5         0         0         2
12:29:38 AM        78        19         5         0         0         2
12:29:40 AM        78        19         5         0         0         2
12:29:42 AM        78        19         5         0         0         2
12:29:44 AM        78        19         5         0         0         2
12:29:46 AM        78        19         5         0         0         2
12:29:48 AM        78        19         5         0         0         2
12:29:50 AM        78        19         5         0         0         2
12:29:52 AM        78        19         5         0         0         3
12:29:54 AM        78        19         5         0         0         4
12:29:56 AM        78        19         5         0         0         4
12:29:58 AM        78        19         5         0         0         4
12:30:00 AM        78        19         5         0         0         4
12:30:02 AM        78        19         5         0         0         4
12:30:04 AM        78        19         5         0         0         4
12:30:06 AM        78        19         5         0         0         4
12:30:08 AM        78        19         5         0         0         4
12:30:10 AM        78        19         5         0         0         4
12:30:12 AM        78        19         5         0         0         4
12:30:14 AM        78        19         5         0         0         4
12:30:16 AM        78        19         5         0         0         4
12:30:18 AM        78        19         5         0         0         4
12:30:20 AM        78        19         5         0         0         4
12:30:22 AM        78        19         5         0         0         4
12:30:24 AM        78        19         5         0         0         3
12:30:26 AM        78        19         5         0         0         3
12:30:28 AM        78        19         5         0         0         3
12:30:30 AM        78        19         5         0         0         3
12:30:32 AM        78        19         5         0         0         4
12:30:34 AM        78        19         5         0         0         4
12:30:36 AM        78        19         5         0         0         4
12:30:38 AM        78        19         5         0         0         4
12:30:40 AM        78        19         5         0         0         4
12:30:42 AM        78        19         5         0         0         4
12:30:44 AM        78        19         5         0         0         4
12:30:46 AM        78        19         5         0         0         4
12:30:48 AM        89        30         5         0         0         2
12:30:50 AM        89        30         5         0         0         2
12:30:52 AM        89        30         5         0         0         2
12:30:54 AM        89        30         5         0         0         2
12:30:56 AM        89        30         5         0         0         1
12:30:58 AM        88        29         5         0         0         1
12:31:00 AM        88        29         5         0         0         1
12:31:02 AM        88        29         5         0         0         2
12:31:04 AM        88        29         5         0         0         2
12:31:06 AM        88        29         5         0         0         2
12:31:08 AM        88        29         5         0         0         2
12:31:10 AM        88        29         5         0         0         2
12:31:12 AM        88        29         5         0         0         2
12:31:14 AM        88        29         5         0         0         2
12:31:16 AM        88        29         5         0         0         2
12:31:18 AM        88        29         5         0         0         2
12:31:20 AM        88        29         5         0         0         2
12:31:22 AM        88        29         5         0         0         2
12:31:24 AM        88        29         5         0         0         1
12:31:26 AM        88        29         5         0         0         1
12:31:28 AM        88        29         5         0         0         1
12:31:30 AM        88        29         5         0         0         1
12:31:32 AM        88        29         5         0         0         2
12:31:34 AM        88        29         5         0         0         2
12:31:36 AM        88        29         5         0         0         2
12:31:38 AM        88        29         5         0         0         2
12:31:40 AM        88        29         5         0         0         2
12:31:42 AM        88        29         5         0         0         2
12:31:44 AM        88        29         5         0         0         2
12:31:46 AM        88        29         5         0         0         2
12:31:48 AM        88        29         5         0         0         2
12:31:50 AM        88        29         5         0         0         2
12:31:52 AM        88        29         5         0         0         2
12:31:54 AM        88        29         5         0         0         1
12:31:56 AM        88        29         5         0         0         1
12:31:58 AM        88        29         5         0         0         1
12:32:00 AM        88        29         5         0         0         1
12:32:02 AM        88        29         5         0         0         2
12:32:04 AM        88        29         5         0         0         2
12:32:06 AM        88        29         5         0         0         2
12:32:08 AM        88        29         5         0         0         2
12:32:10 AM        88        29         5         0         0         2
12:32:12 AM        88        29         5         0         0         2
12:32:14 AM        88        29         5         0         0         2
12:32:16 AM        88        29         5         0         0         2
12:32:18 AM        88        29         5         0         0         2
12:32:20 AM        88        29         5         0         0         2
12:32:22 AM        88        29         5         0         0         2
12:32:24 AM        88        29         5         0         0         2
12:32:26 AM        88        29         5         0         0         1
12:32:28 AM        88        29         5         0         0         1
12:32:30 AM        88        29         5         0         0         1
12:32:32 AM        88        29         5         0         0         2
12:32:34 AM        88        29         5         0         0         2
12:32:36 AM        88        29         5         0         0         2
12:32:38 AM        88        29         5         0         0         2
12:32:40 AM        88        29         5         0         0         2
12:32:42 AM        88        29         5         0         0         2
12:32:44 AM        88        29         5         0         0         2
12:32:46 AM        88        29         5         0         0         2
12:32:48 AM        99        40         5         0         0         2
12:32:50 AM        99        40         5         0         0         2
12:32:52 AM        99        40         5         0         0         2
12:32:54 AM        99        40         5         0         0         2
12:32:56 AM        99        40         5         0         0         1
12:32:58 AM        98        39         5         0         0         1
12:33:00 AM        98        39         5         0         0         1
12:33:02 AM        98        39         5         0         0         2
12:33:04 AM        98        39         5         0         0         2
12:33:06 AM        98        39         5         0         0         2
12:33:08 AM        98        39         5         0         0         2
12:33:10 AM        98        39         5         0         0         2
12:33:12 AM        98        39         5         0         0         2
12:33:14 AM        98        39         5         0         0         2
12:33:16 AM        98        39         5         0         0         2
12:33:18 AM        98        39         5         0         0         2
12:33:20 AM        98        39         5         0         0         2
12:33:22 AM        98        39         5         0         0         2
12:33:24 AM        98        39         5         0         0         2
12:33:26 AM        98        39         5         0         0         1
12:33:28 AM        98        39         5         0         0         1
12:33:30 AM        98        39         5         0         0         1
12:33:32 AM        98        39         5         0         0         2
12:33:34 AM        98        39         5         0         0         2
12:33:36 AM        98        39         5         0         0         2
12:33:38 AM        98        39         5         0         0         2
12:33:40 AM        98        39         5         0         0         2
12:33:42 AM        98        39         5         0         0         2
12:33:44 AM        98        39         5         0         0         2
12:33:46 AM        98        39         5         0         0         2
12:33:48 AM        98        39         5         0         0         2
12:33:50 AM        98        39         5         0         0         2
12:33:52 AM        98        39         5         0         0         2
12:33:54 AM        98        39         5         0         0         2
12:33:56 AM        98        39         5         0         0         1
12:33:58 AM        98        39         5         0         0         1
12:34:00 AM        98        39         5         0         0         1
12:34:02 AM        98        39         5         0         0         2
12:34:04 AM        98        39         5         0         0         2
12:34:06 AM        98        39         5         0         0         2
12:34:08 AM        98        39         5         0         0         2
12:34:10 AM        98        39         5         0         0         2
12:34:12 AM        98        39         5         0         0         2
12:34:14 AM        98        39         5         0         0         2
12:34:16 AM        98        39         5         0         0         2
12:34:18 AM        98        39         5         0         0         2
12:34:20 AM        98        39         5         0         0         2
12:34:22 AM        98        39         5         0         0         2
12:34:24 AM        98        39         5         0         0         2
12:34:26 AM        98        39         5         0         0         1
12:34:28 AM        98        39         5         0         0         1
12:34:30 AM        98        39         5         0         0         1
12:34:32 AM        98        39         5         0         0         2
12:34:34 AM        98        39         5         0         0         2
12:34:36 AM        98        39         5         0         0         2
12:34:38 AM        98        39         5         0         0         2
12:34:40 AM        98        39         5         0         0         2
12:34:42 AM        98        39         5         0         0         2
12:34:44 AM        98        39         5         0         0         2
12:34:46 AM        98        39         5         0         0         2
12:34:48 AM       109        50         5         0         0         2
12:34:50 AM       109        50         5         0         0         2
12:34:52 AM       109        50         5         0         0         2
12:34:54 AM       108        49         5         0         0         2
12:34:56 AM       108        49         5         0         0         1
12:34:58 AM       108        49         5         0         0         1
12:35:00 AM       108        49         5         0         0         1
12:35:02 AM       108        49         5         0         0         2
12:35:04 AM       108        49         5         0         0         2
12:35:06 AM       108        49         5         0         0         2
12:35:08 AM       108        49         5         0         0         2
12:35:10 AM       108        49         5         0         0         2
12:35:12 AM       108        49         5         0         0         2
12:35:14 AM       108        49         5         0         0         2
12:35:16 AM       108        49         5         0         0         2
12:35:18 AM       108        49         5         0         0         2
12:35:20 AM       108        49         5         0         0         2
12:35:22 AM       108        49         5         0         0         2
12:35:24 AM       108        49         5         0         0         2
12:35:26 AM       108        49         5         0         0         1
12:35:28 AM       108        49         5         0         0         1
12:35:30 AM       108        49         5         0         0         1
12:35:32 AM       108        49         5         0         0         2
12:35:34 AM       108        49         5         0         0         2
12:35:36 AM       108        49         5         0         0         2
12:35:38 AM       108        49         5         0         0         2
12:35:40 AM       108        49         5         0         0         2
12:35:42 AM       108        49         5         0         0         2
12:35:44 AM       108        49         5         0         0         2
12:35:46 AM       108        49         5         0         0         2
12:35:48 AM       108        49         5         0         0         2
12:35:50 AM       108        49         5         0         0         2
12:35:52 AM       108        49         5         0         0         2
12:35:54 AM       108        49         5         0         0         2
12:35:56 AM       108        49         5         0         0         1
12:35:58 AM       108        49         5         0         0         1
12:36:00 AM       108        49         5         0         0         1
12:36:02 AM       108        49         5         0         0         2
12:36:04 AM       108        49         5         0         0         2
12:36:06 AM       108        49         5         0         0         2
12:36:08 AM       108        49         5         0         0         2
12:36:10 AM       108        49         5         0         0         2
12:36:12 AM       108        49         5         0         0         2
12:36:14 AM       108        49         5         0         0         2
12:36:16 AM       108        49         5         0         0         2
12:36:18 AM       108        49         5         0         0         2
12:36:20 AM       108        49         5         0         0         2
12:36:22 AM       108        49         5         0         0         2
12:36:24 AM       108        49         5         0         0         2
12:36:26 AM       108        49         5         0         0         1
12:36:28 AM       108        49         5         0         0         1
12:36:30 AM       108        49         5         0         0         1
12:36:32 AM       108        49         5         0         0         2
12:36:34 AM       108        49         5         0         0         2
12:36:36 AM       108        49         5         0         0         2
12:36:38 AM       108        49         5         0         0         2
12:36:40 AM       108        49         5         0         0         2
12:36:42 AM       108        49         5         0         0         2
12:36:44 AM       108        49         5         0         0         2
12:36:46 AM       108        49         5         0         0         2
12:36:48 AM       119        60         5         0         0         2
12:36:50 AM       119        60         5         0         0         2
12:36:52 AM       119        60         5         0         0         2
12:36:54 AM       118        59         5         0         0         2
12:36:56 AM       118        59         5         0         0         1
12:36:58 AM       118        59         5         0         0         1
12:37:00 AM       118        59         5         0         0         1
12:37:02 AM       118        59         5         0         0         2
12:37:04 AM       118        59         5         0         0         2
12:37:06 AM       118        59         5         0         0         2
12:37:08 AM       118        59         5         0         0         2
12:37:10 AM       118        59         5         0         0         2
12:37:12 AM       118        59         5         0         0         2
12:37:14 AM       118        59         5         0         0         2
12:37:16 AM       118        59         5         0         0         2
12:37:18 AM       118        59         5         0         0         2
12:37:20 AM       118        59         5         0         0         2
12:37:22 AM       118        59         5         0         0         2
12:37:24 AM       118        59         5         0         0         2
12:37:26 AM       118        59         5         0         0         1
12:37:28 AM       118        59         5         0         0         1
12:37:30 AM       118        59         5         0         0         1
12:37:32 AM       118        59         5         0         0         2
12:37:34 AM       118        59         5         0         0         2
12:37:36 AM       118        59         5         0         0         2
12:37:38 AM       118        59         5         0         0         2
12:37:40 AM       118        59         5         0         0         2
12:37:42 AM       118        59         5         0         0         2
12:37:44 AM       118        59         5         0         0         2
12:37:46 AM       118        59         5         0         0         2
12:37:48 AM       118        59         5         0         0         2
