Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
12:23:04 AM     all      2.46      0.00      0.99      0.25      0.00      0.00      0.00      0.00     96.31
12:23:06 AM     all      2.68      0.00      0.73      0.00      1.46      0.00      0.00      0.00     95.13
12:23:08 AM     all      2.72      0.00      1.24      0.00      0.99      0.00      0.00      0.00     95.05
12:23:10 AM     all      1.00      0.00      1.00      0.00      0.50      0.00      0.00      0.00     97.51
12:23:12 AM     all      0.50      0.00      0.50      0.00      0.50      0.00      0.25      0.00     98.25
12:23:14 AM     all      0.50      0.00      0.50      0.00      0.50      0.00      0.00      0.00     98.49
12:23:16 AM     all      1.00      0.00      0.50      0.25      1.25      0.00      0.00      0.00     97.01
12:23:18 AM     all      0.51      0.00      0.51      0.00      0.00      0.00      0.00      0.00     98.98
12:23:20 AM     all      0.25      0.00      0.51      0.00      0.00      0.00      0.00      0.00     99.24
12:23:22 AM     all      0.00      0.00      0.25      0.00      1.50      0.00      0.00      0.00     98.25
12:23:24 AM     all      0.25      0.00      0.25      0.00      0.25      0.00      0.00      0.00     99.24
12:23:26 AM     all      0.50      0.00      0.75      0.00      2.00      0.00      0.00      0.00     96.75
12:23:28 AM     all      0.77      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.23
12:23:30 AM     all      0.00      0.00      0.50      0.00      1.26      0.00      0.00      0.00     98.24
12:23:32 AM     all      0.51      0.00      0.51      0.00      0.25      0.00      0.00      0.00     98.73
12:23:34 AM     all      1.48      0.00      0.25      0.25      1.48      0.00      0.00      0.00     96.54
12:23:36 AM     all      1.98      0.00      1.48      0.00      0.00      0.00      0.00      0.00     96.54
12:23:38 AM     all      4.29      0.00      0.95      0.00      2.86      0.00      0.00      0.00     91.90
12:23:40 AM     all      5.49      0.00      0.95      0.00      0.00      0.00      0.24      0.00     93.32
12:23:42 AM     all      2.91      0.00      0.48      0.00      1.45      0.00      0.24      0.00     94.92
12:23:44 AM     all      1.75      0.00      0.25      0.00      0.00      0.00      0.00      0.00     97.99
12:23:46 AM     all      0.50      0.00      0.50      0.00      1.50      0.00      0.00      0.00     97.50
