Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab03.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

06:05:58 PM   frmpg/s   bufpg/s   campg/s
06:06:00 PM  -8945.64      0.00     11.28
06:06:02 PM   -716.75      0.00      2.54
06:06:04 PM   -201.02      1.02      0.00
06:06:06 PM   -425.77      0.00      1.03
06:06:08 PM   1191.92      0.00      0.51
06:06:10 PM     69.39      1.02      1.02
06:06:12 PM    -12.31      0.00      1.54
06:06:14 PM     47.18      1.03      0.00
06:06:16 PM   -155.61      0.00      2.55
06:06:18 PM    113.92      0.00      0.52
06:06:20 PM    124.10      1.03      1.03
06:06:22 PM   -304.55      0.00      0.00
06:06:24 PM    259.18      1.02      0.00
06:06:26 PM    -86.01      0.00      2.07
06:06:28 PM   -160.20      0.00      0.51
06:06:30 PM    111.73      1.02      0.51
06:06:32 PM    -24.23      0.00      1.55
06:06:34 PM    -10.71      0.00      0.00
06:06:36 PM    157.87      1.02      1.02
06:06:38 PM    -37.06      0.00      1.02
06:06:40 PM     80.41      1.03      1.03
06:06:42 PM    212.69      0.00      0.51
06:06:44 PM    -38.46      0.00      0.51
06:06:46 PM    101.03      1.03      1.54
06:06:48 PM    128.06      0.00      0.00
06:06:50 PM   -113.92      1.03      1.55
06:06:52 PM   -107.14      0.00      1.02
06:06:54 PM     18.88      0.00      0.51
06:06:56 PM    195.94      1.02      0.51
06:06:58 PM    -57.58      0.00      0.51
06:07:00 PM     88.60      1.04      0.52
06:07:02 PM    -92.86      0.00      2.04
06:07:04 PM   -126.90      0.00      0.51
06:07:06 PM   -187.69      1.03      1.03
06:07:08 PM   -160.80      0.00      0.50
06:07:10 PM   -219.49      0.00      1.03
06:07:12 PM     -6.67      1.03      1.03
06:07:14 PM    311.28      0.00      3.08
06:07:16 PM   -336.73      1.02      1.02
06:07:18 PM     74.62      0.00      1.02
06:07:20 PM    -22.96      0.00      1.53
06:07:22 PM   -170.10      1.03      0.00
06:07:24 PM    -92.78      0.00      1.03
06:07:26 PM     31.12      0.51      1.02
06:07:28 PM    -66.32      0.00      1.04
06:07:30 PM    -34.52      0.00      1.02
06:07:32 PM     58.16      1.02      1.02
06:07:34 PM    121.76      0.00      0.52
06:07:36 PM    -72.59      0.00      1.02
06:07:38 PM    -54.27      1.01      1.01
