Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab03.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

06:05:58 PM    proc/s   cswch/s
06:06:00 PM     32.82  26755.38
06:06:02 PM     13.20  22660.41
06:06:04 PM      8.12  19983.76
06:06:06 PM     15.98  22651.55
06:06:08 PM     12.69  24794.42
06:06:10 PM     10.71  27456.63
06:06:12 PM      8.21  28149.74
06:06:14 PM      7.14  27770.92
06:06:16 PM     10.77  27991.28
06:06:18 PM      5.15  29177.84
06:06:20 PM     12.82  28115.90
06:06:22 PM     11.17  29259.90
06:06:24 PM     11.22  29290.31
06:06:26 PM     14.36  29599.49
06:06:28 PM      8.21  30182.05
06:06:30 PM      8.21  29147.18
06:06:32 PM      7.18  29001.03
06:06:34 PM      5.05  27829.29
06:06:36 PM      4.10  29046.15
06:06:38 PM      5.56  28834.85
06:06:40 PM      7.22  29069.59
06:06:42 PM      5.61  27771.43
06:06:44 PM      5.64  29446.15
06:06:46 PM      5.61  29709.69
06:06:48 PM      5.61  29446.94
06:06:50 PM      5.64  30880.51
06:06:52 PM      5.64  29127.18
06:06:54 PM      5.08  30070.56
06:06:56 PM      3.57  27935.20
06:06:58 PM      6.06  28111.11
06:07:00 PM      7.25  31045.60
06:07:02 PM      5.61  28747.96
06:07:04 PM      7.14  29408.67
06:07:06 PM     12.76  29767.35
06:07:08 PM     12.56  28909.05
06:07:10 PM     10.82  30270.10
06:07:12 PM      7.69  29273.33
06:07:14 PM      5.10  27858.67
06:07:16 PM     11.28  29070.77
06:07:18 PM      7.07  29162.63
06:07:20 PM     13.33  29222.05
06:07:22 PM     11.34  28694.85
06:07:24 PM     11.28  27944.10
06:07:26 PM     14.43  29854.64
06:07:28 PM      8.21  29274.36
06:07:30 PM      8.16  29780.10
06:07:32 PM      6.60  30127.41
06:07:34 PM      3.61  30060.82
06:07:36 PM      5.61  29079.59
06:07:38 PM      5.56  11303.54
