Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM   frmpg/s   bufpg/s   campg/s
05:23:37 PM     46.97      0.00      0.51
05:23:39 PM   -195.43      0.00      2.03
05:23:41 PM    154.77      0.00      0.50
05:23:43 PM    -92.46      0.00      1.51
05:23:45 PM    -46.97      0.00      2.53
05:23:47 PM     47.45      0.00      2.55
05:23:49 PM     52.26      0.00      2.01
05:23:51 PM    -95.41      0.00      0.51
05:23:53 PM    -94.97      0.00      1.01
05:23:55 PM     31.47      0.00      1.52
05:23:57 PM  -1234.00      0.00      1.00
05:23:59 PM   1223.71      0.00      2.06
05:24:01 PM      0.50      0.00      2.99
05:24:03 PM    -63.32      0.00      1.51
05:24:05 PM  -1463.27      0.00      1.02
05:24:07 PM    263.13      0.00      1.52
05:24:09 PM   1196.43      0.51      3.57
05:24:11 PM   -189.95      0.00      1.01
05:24:13 PM  -1011.17      0.00      1.52
05:24:15 PM   1118.27      0.00      0.51
05:24:17 PM     80.30      0.00      2.53
05:24:19 PM     91.00      1.50      1.50
05:24:21 PM   -171.21      0.00      1.01
05:24:23 PM      5.03      0.00      1.51
05:24:25 PM    132.32      0.00      1.01
05:24:27 PM    -10.05      0.00      2.01
05:24:29 PM     48.73      0.00      1.02
05:24:31 PM    -63.27      0.00      1.53
05:24:33 PM     30.35      0.00      1.00
05:24:35 PM    -40.61      0.00      1.52
05:24:37 PM    -77.89      0.00      1.51
05:24:39 PM    177.04      0.00      1.02
05:24:41 PM    -14.14      0.00      1.52
05:24:43 PM    121.72      0.00      1.52
05:24:45 PM    -93.47      0.00      1.01
05:24:47 PM    111.00      0.00      2.00
05:24:49 PM   -155.78      0.00      1.51
05:24:51 PM    161.31      0.00      1.51
05:24:53 PM    -74.37      0.50      0.50
05:24:55 PM     62.24      0.00      1.02
05:24:57 PM  -1277.16      0.00      2.54
05:24:59 PM   1220.10      0.00      1.01
05:25:01 PM     47.98      0.00      3.03
05:25:03 PM    -76.53      0.00      1.53
05:25:05 PM     64.14      0.00      1.52
05:25:07 PM  -1126.63      0.00      2.51
05:25:09 PM   1055.78      0.00      1.51
05:25:11 PM  -1270.41      0.00      1.02
05:25:13 PM   -272.73      0.00      1.01
05:25:15 PM   1036.36      0.00      1.01
05:25:17 PM   -757.58      0.00      2.02
05:25:19 PM    980.50      0.00      1.00
05:25:21 PM    -50.00      0.00      2.02
05:25:23 PM    -52.76      0.00      2.51
05:25:25 PM    202.01      0.00      0.50
05:25:27 PM     31.47      0.00      3.05
05:25:29 PM    -46.27      1.00      1.49
05:25:31 PM    -11.06      0.00      2.01
05:25:33 PM     57.29      0.00      1.01
05:25:35 PM     16.58      0.00      1.01
05:25:37 PM     14.72      0.00      2.03
05:25:39 PM     61.62      0.00      1.01
05:25:41 PM     62.31      0.00      1.51
05:25:43 PM    -46.23      0.00      1.01
05:25:45 PM    -31.79      0.00      1.54
05:25:47 PM    -29.29      0.00      1.52
05:25:49 PM     18.59      0.00      1.01
05:25:51 PM      1.52      0.00      1.01
05:25:53 PM    -64.00      0.00      0.50
05:25:55 PM    -30.30      0.00      1.52
05:25:57 PM    -83.76      0.00      2.03
05:25:59 PM    112.06      0.00      1.01
05:26:01 PM    -86.93      0.00      2.51
05:26:03 PM    -61.62      0.00      1.52
05:26:05 PM    -42.21      0.00      1.51
05:26:07 PM  -1145.96      0.00      1.52
05:26:09 PM   1164.00      0.00      1.50
05:26:11 PM  -1166.33      0.00      2.51
05:26:13 PM    306.53      0.00      1.51
05:26:15 PM    987.76      0.00      2.55
05:26:17 PM      4.52      0.00      1.51
05:26:19 PM    177.78      0.00      2.02
