Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:18:49  1844844675 107155139 107155139    41252           1844616473 107383341 
22:18:51  1844851082 107155139 107155139    41252           1844622880 107383341 
22:18:53  1844855103 107155139 107155139    41252           1844626901 107383341 
22:18:55  1844862774 107155139 107155139    41252           1844634572 107383341 
22:18:57  1844878979 107155139 107155139    41252           1844650777 107383341 
22:18:59  1844885475 107155139 107155139    41252           1844657273 107383341 
22:19:01  1844895012 107155139 107155139    41252           1844666810 107383341 
22:19:03  1844904427 107155139 107155139    41252           1844676225 107383341 
22:19:05  1844917754 107155139 107155139    41252           1844689552 107383341 
22:19:07  1844927708 107155139 107155139    41252           1844699506 107383341 
22:19:09  1844936394 107155139 107155139    41252           1844708192 107383341 
22:19:11  1844951616 107155139 107155139    41252           1844723414 107383341 
22:19:13  1844961201 107155139 107155139    41252           1844732999 107383341 
22:19:15  1844968886 107155139 107155139    41252           1844740684 107383341 
22:19:17  1844977353 107155139 107155139    41252           1844749151 107383341 
22:19:19  1844986252 107155139 107155139    41252           1844758050 107383341 
22:19:21  1844995449 107155139 107155139    41252           1844767247 107383341 
22:19:23  1845002095 107155139 107155139    41252           1844773893 107383341 
22:19:25  1845008091 107155139 107155139    41252           1844779889 107383341 
22:19:27  1845014998 107155139 107155139    41252           1844786796 107383341 
22:19:29  1845022016 107155139 107155139    41252           1844793814 107383341 
22:19:31  1845026426 107155139 107155139    41252           1844798224 107383341 
22:19:33  1845032547 107155139 107155139    41252           1844804345 107383341 
22:19:35  1845039346 107155139 107155139    41252           1844811144 107383341 
22:19:37  1845045968 107155139 107155139    41252           1844817766 107383341 
22:19:39  1845052176 107155139 107155139    41252           1844823974 107383341 
22:19:42  1845058630 107155139 107155139    41252           1844830428 107383341 
22:19:44  1845064901 107155139 107155139    41252           1844836699 107383341 
22:19:46  1845071729 107155139 107155139    41252           1844843527 107383341 
22:19:48  1845078424 107155139 107155139    41252           1844850222 107383341 
22:19:50  1845085441 107155139 107155139    41252           1844857239 107383341 
22:19:52  1845092050 107155139 107155139    41252           1844863848 107383341 
22:19:54  1845100844 107155139 107155139    41252           1844872642 107383341 
22:19:56  1845107892 107155139 107155139    41252           1844879690 107383341 
22:19:58  1845124405 107155139 107155139    41252           1844896203 107383341 
22:20:00  1845130666 107155139 107155139    41252           1844902464 107383341 
22:20:02  1845140403 107155139 107155139    41252           1844912201 107383341 
22:20:04  1845149294 107155139 107155139    41252           1844921092 107383341 
22:20:06  1845160751 107155139 107155139    41252           1844932549 107383341 
22:20:08  1845170893 107155139 107155139    41252           1844942691 107383341 
22:20:10  1845180295 107155139 107155139    41252           1844952093 107383341 
22:20:12  1845195717 107155139 107155139    41252           1844967515 107383341 
22:20:14  1845203761 107155139 107155139    41252           1844975559 107383341 
22:20:16  1845210653 107155139 107155139    41252           1844982451 107383341 
22:20:18  1845219156 107155139 107155139    41252           1844990954 107383341 
22:20:20  1845228421 107155139 107155139    41252           1845000219 107383341 
