Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM  active/s passive/s    iseg/s    oseg/s
05:22:39 PM      0.51      0.51   8014.14   8943.43
05:22:41 PM      0.51      0.00   9755.56   8914.14
05:22:43 PM      0.00      0.00   7671.50   9722.50
05:22:45 PM      0.51      0.00   7536.87   9690.91
05:22:47 PM      0.50      0.00   6856.00   8995.50
05:22:49 PM      0.00      0.00   9938.00  10870.00
05:22:51 PM      0.51      0.00   9740.91  11208.59
05:22:53 PM      0.51      0.00  15404.55  10447.47
05:22:55 PM      0.00      0.00   7790.40   9297.47
05:22:57 PM      1.01      0.00   8832.83  10062.63
05:22:59 PM      0.51      0.00   6332.83   8084.34
05:23:01 PM      0.00      0.00   8903.54  11128.28
05:23:03 PM      0.51      0.00   9085.86  10312.63
05:23:05 PM      0.50      0.50   9348.24  10199.50
05:23:07 PM      0.00      0.00   9542.93  10331.31
05:23:09 PM      0.51      0.00   6504.55   8634.85
05:23:11 PM      0.51      0.00   7147.47   8541.41
05:23:13 PM      0.00      0.00  11853.50  10073.00
05:23:15 PM      0.50      0.00   9674.37   6964.32
05:23:17 PM      0.51      0.00  12771.21  10169.70
05:23:19 PM      0.00      0.00   7785.43   9963.82
05:23:21 PM      0.51      0.00   8402.02   9481.82
05:23:23 PM      0.51      0.51   8893.43  10373.23
05:23:25 PM      0.00      0.00   9226.24  10784.16
05:23:27 PM      0.51      0.00   9461.93   9162.94
05:23:29 PM      0.50      0.00   7052.76   8815.58
05:23:31 PM      0.00      0.00   9232.16  10933.67
05:23:33 PM      0.50      0.00  16572.86   9912.06
05:23:35 PM      0.50      0.00   7072.50   8895.50
05:23:37 PM      0.00      0.00   7848.73   9851.27
05:23:39 PM      0.50      0.00   7920.60   9793.47
05:23:41 PM      0.51      0.00   7769.54   9448.22
05:23:43 PM      0.00      0.00   9587.00   9983.50
05:23:45 PM      0.51      0.00   9098.98  10268.53
05:23:47 PM      0.51      0.00  11421.32  10869.04
05:23:49 PM      0.00      0.00   9797.98  11592.42
05:23:51 PM      0.51      0.00   9415.82  10642.35
05:23:53 PM      1.01      0.00   7201.51   8314.07
05:23:55 PM      0.00      0.00   7775.13   8891.88
05:23:57 PM      0.50      0.00   7395.00   8088.50
05:23:59 PM      0.51      0.00   9374.36   9900.00
05:24:01 PM      0.00      0.00   8735.32  10481.59
05:24:03 PM      0.51      0.00   9888.38  11519.19
05:24:05 PM      1.52      0.00   9859.39  11456.85
05:24:07 PM      0.00      0.00   8544.67  10010.15
05:24:09 PM      0.51      0.00  11853.57  10431.12
05:24:11 PM      0.50      0.00  11224.50  10958.00
05:24:13 PM      0.00      0.00   8408.12  10986.80
05:24:15 PM      0.51      0.00   8253.81  10896.95
05:24:17 PM      0.51      0.00   7682.23  10136.04
05:24:19 PM      0.00      0.00   6314.00   8496.50
05:24:21 PM      0.50      0.00   8643.72  10421.61
05:24:23 PM      0.51      0.51   9033.84  11593.94
05:24:25 PM      0.00      0.00   9049.75  11139.20
05:24:27 PM      0.50      0.00   8468.84  10129.15
05:24:29 PM      0.51      0.00   7799.49  10058.67
05:24:31 PM      0.00      0.00   7327.41   8666.50
05:24:33 PM      0.50      0.00   8232.50   9227.00
05:24:35 PM      0.51      0.00   6920.20   9334.34
05:24:37 PM      0.00      0.00   9083.33  10937.88
05:24:39 PM      0.51      0.00   8130.46   9560.41
05:24:41 PM      0.51      0.00   7047.21   9045.18
05:24:43 PM      0.00      0.00   8138.19  10611.56
05:24:45 PM      0.50      0.00   8917.59  10980.90
05:24:47 PM      1.00      0.00  10465.50   9820.50
05:24:49 PM      0.00      0.00   8972.73  10740.40
05:24:51 PM      0.50      0.00   9104.50   9819.00
05:24:53 PM      0.51      0.00   9043.94  10610.61
05:24:55 PM      0.00      0.00   9356.85  10497.97
05:24:57 PM      0.51      0.00   8265.48  10021.83
05:24:59 PM      0.51      0.00   9047.47   9500.00
05:25:01 PM      0.00      0.00   8748.99  11599.49
05:25:03 PM      0.51      0.00  10259.90  11274.11
05:25:05 PM      0.51      0.00   8762.63  11250.00
05:25:07 PM      0.00      0.00   9414.14   8938.38
05:25:09 PM      0.50      0.00   7915.58   9444.72
