Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM    proc/s   cswch/s
05:24:35 PM      6.57  30950.00
05:24:37 PM      6.06  37532.83
05:24:39 PM      4.57  33253.81
05:24:41 PM      4.55  30348.99
05:24:43 PM      6.03  35488.94
05:24:45 PM      6.09  38482.23
05:24:47 PM      5.97  32666.17
05:24:49 PM      6.57  38974.24
05:24:51 PM      7.54  39205.53
05:24:53 PM      6.03  38361.81
05:24:55 PM      8.67  38128.06
05:24:57 PM     18.78  32739.09
05:24:59 PM      7.04  34918.59
05:25:01 PM      7.58  37289.39
05:25:03 PM      7.58  37233.84
05:25:05 PM     11.68  37936.04
05:25:07 PM     12.12  29197.98
05:25:09 PM      8.04  31186.43
05:25:11 PM     13.27  40217.35
05:25:13 PM     11.56  32625.63
05:25:15 PM     14.65  37955.56
05:25:17 PM      8.59  37344.44
05:25:19 PM      7.00  36903.50
05:25:21 PM      7.54  36096.48
05:25:23 PM      6.09  35136.04
05:25:25 PM      6.03  34486.93
05:25:27 PM      6.03  36078.89
05:25:29 PM      5.97  31665.17
05:25:31 PM      7.61  32819.29
05:25:33 PM      6.03  32598.99
05:25:35 PM      6.53  37364.32
05:25:37 PM      6.60  37547.21
05:25:39 PM      6.06  37232.32
05:25:41 PM      6.03  36156.28
05:25:43 PM      6.00  36990.50
05:25:45 PM      6.15  38324.10
05:25:47 PM      6.06  36866.16
05:25:49 PM      6.03  37148.24
05:25:51 PM      7.61  37236.55
05:25:53 PM      6.00  36066.50
05:25:55 PM      7.58  37332.32
05:25:57 PM     18.18  37956.57
05:25:59 PM      4.52  33484.42
05:26:01 PM      7.54  31529.65
05:26:03 PM      7.61  37616.24
05:26:05 PM     11.50  37169.00
05:26:07 PM     11.62  37449.49
05:26:09 PM      7.54  37720.60
05:26:11 PM     11.50  38360.50
05:26:13 PM     13.07  34003.52
05:26:15 PM     14.87  38474.87
05:26:17 PM      9.05  38288.94
05:26:19 PM      8.59  34042.93
05:26:21 PM      8.00  38747.00
05:26:23 PM      6.06  38712.12
05:26:25 PM      6.03  38371.36
05:26:27 PM      6.06  38137.88
05:26:29 PM      6.03  32889.95
05:26:31 PM      7.61  38023.35
05:26:33 PM      6.03  37932.66
05:26:35 PM      6.60  38273.10
05:26:37 PM      5.03  37006.53
05:26:39 PM      4.98  37865.67
05:26:41 PM      6.09  37932.49
05:26:43 PM      6.00  37237.00
05:26:45 PM      6.12  31716.33
05:26:47 PM      5.97  31099.50
05:26:49 PM      6.60  38258.88
05:26:51 PM      7.50  34858.00
05:26:53 PM      6.06  31566.67
05:26:55 PM      7.58  40186.36
05:26:57 PM     18.78  39371.57
05:26:59 PM      7.07  36817.17
05:27:01 PM      7.54  33692.96
05:27:03 PM      7.61  39011.17
05:27:05 PM     11.68  37590.36
05:27:07 PM     11.68  33765.99
05:27:09 PM      7.58  38020.71
05:27:11 PM     12.00  31837.50
05:27:13 PM     13.07  36408.54
05:27:15 PM     14.72  32046.19
05:27:17 PM      5.61  37416.84
05:27:19 PM      8.63  37110.15
05:27:21 PM      7.54  33014.07
05:27:23 PM      6.06  37588.89
05:27:25 PM      6.03  38327.64
05:27:27 PM      6.03  37859.30
05:27:29 PM      6.67  38518.97
05:27:31 PM      7.50  37476.50
05:27:33 PM      6.00  36960.00
05:27:35 PM      6.57  37736.36
05:27:37 PM      6.57  37160.61
05:27:39 PM      6.57  37266.16
05:27:41 PM      6.06  36924.75
05:27:43 PM      6.03  36672.36
05:27:45 PM      6.03  36363.82
05:27:47 PM      6.09  32583.25
05:27:49 PM      6.53  36972.86
05:27:51 PM      8.16  38521.43
05:27:53 PM      6.00  32953.50
05:27:55 PM      5.97  32211.44
05:27:57 PM     16.84  38734.18
05:27:59 PM      7.50  37206.50
05:28:01 PM      7.58  37975.76
05:28:03 PM      7.61  32878.68
05:28:05 PM     11.62  34920.20
05:28:07 PM     11.44  27416.42
05:28:09 PM      8.08  35881.31
05:28:11 PM     12.12  33454.55
05:28:13 PM     13.07  34158.29
05:28:15 PM     14.65  37518.69
05:28:17 PM      8.50  38181.50
05:28:19 PM      8.46  37839.80
05:28:21 PM      6.12  39101.02
05:28:23 PM      6.09  38465.99
05:28:25 PM      6.03  37174.37
05:28:27 PM      6.06  33618.18
05:28:29 PM      7.58  31317.68
05:28:31 PM      7.50  35914.50
05:28:33 PM      6.03  39320.60
05:28:35 PM      5.08  39172.59
05:28:37 PM      4.52  39226.13
05:28:39 PM      6.09  39482.74
05:28:41 PM      6.06  37270.71
05:28:43 PM      6.09  34001.52
05:28:45 PM      6.06  39167.68
05:28:47 PM      6.09  40026.90
05:28:49 PM      6.09  38540.61
05:28:51 PM      8.04  37762.81
05:28:53 PM      6.03  37700.00
05:28:55 PM      7.58  33164.65
05:28:57 PM     18.00  36925.50
05:28:59 PM      7.58  32879.80
05:29:01 PM      7.58  36919.70
05:29:03 PM      7.61  35953.30
