Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:05:32 PM     CPU       MHz
05:05:34 PM     all   2299.94
05:05:36 PM     all   2299.94
05:05:38 PM     all   2299.94
05:05:40 PM     all   2299.94
05:05:42 PM     all   2299.94
05:05:44 PM     all   2299.94
05:05:46 PM     all   2299.94
05:05:48 PM     all   2299.94
05:05:50 PM     all   2299.94
05:05:52 PM     all   2299.94
05:05:54 PM     all   2299.94
05:05:56 PM     all   2299.94
05:05:58 PM     all   2299.94
05:06:00 PM     all   2299.94
05:06:02 PM     all   2299.94
05:06:04 PM     all   2299.94
05:06:06 PM     all   2299.94
05:06:08 PM     all   2299.94
05:06:10 PM     all   2299.94
05:06:12 PM     all   2299.94
05:06:14 PM     all   2299.94
05:06:16 PM     all   2299.94
05:06:18 PM     all   2299.94
05:06:20 PM     all   2299.94
05:06:22 PM     all   2299.94
05:06:24 PM     all   2299.94
05:06:26 PM     all   2299.94
05:06:28 PM     all   2299.94
