Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:05:32 PM  active/s passive/s    iseg/s    oseg/s
05:05:34 PM      0.00      0.00  20707.50  20717.00
05:05:36 PM      0.50      0.00  29955.00  29955.00
05:05:38 PM      0.50      0.00  30278.89  30280.40
05:05:40 PM      0.00      0.00  28520.60  28517.09
05:05:42 PM      0.50      0.00  35618.00  35624.00
05:05:44 PM      0.51      0.00  37952.79  37948.22
05:05:46 PM      0.00      0.00  36404.52  36406.03
05:05:48 PM      0.51      0.00  37528.28  37528.28
05:05:50 PM      0.50      0.00  37664.00  37665.00
05:05:52 PM      0.00      0.00  37661.42  37660.91
05:05:54 PM      0.52      0.00  37519.59  37519.07
05:05:56 PM      0.51      0.00  38329.23  38328.72
05:05:58 PM      0.00      0.00  37679.19  37677.66
05:06:00 PM      0.52      0.00  38311.34  38317.01
05:06:02 PM      0.51      0.00  37429.29  37427.78
05:06:04 PM      0.00      0.00  37630.81  37629.29
05:06:06 PM      0.50      0.00  37393.97  37395.98
05:06:08 PM      0.50      0.00  37377.89  37373.87
05:06:10 PM      0.00      0.00  38026.90  38028.43
05:06:12 PM      0.51      0.00  38267.51  38265.99
05:06:14 PM      0.51      0.00  38518.88  38516.84
05:06:16 PM      0.00      0.00  37999.49  38000.51
05:06:18 PM      0.51      0.00  38002.56  38001.54
05:06:20 PM      0.52      0.00  38499.48  38499.48
05:06:22 PM      0.00      0.00  37869.54  37878.68
05:06:24 PM      0.51      0.00  37341.41  37338.89
05:06:26 PM      0.50      0.00  36447.00  36440.50
05:06:28 PM      0.00      0.00  16173.37  16196.48
