Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:05:32 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
05:05:34 PM     all     72.79      0.54      2.89      0.00      0.00      0.00      1.30      0.00     22.47
05:05:36 PM     all     68.86      0.48      4.03      0.00      0.00      0.00      2.10      0.00     24.52
05:05:38 PM     all     67.38      0.02      4.45      0.02      0.00      0.00      2.36      0.00     25.77
05:05:40 PM     all     63.86      0.36      4.89      0.00      0.00      0.00      2.34      0.00     28.56
05:05:42 PM     all     67.38      0.32      5.81      0.00      0.00      0.00      2.86      0.00     23.63
05:05:44 PM     all     66.93      0.00      6.28      0.00      0.00      0.00      2.85      0.00     23.94
05:05:46 PM     all     65.06      1.31      6.24      0.00      0.00      0.00      2.96      0.00     24.43
05:05:48 PM     all     66.68      0.30      5.82      0.00      0.00      0.02      2.95      0.00     24.24
05:05:50 PM     all     67.53      0.31      6.11      0.00      0.00      0.00      3.09      0.00     22.95
05:05:52 PM     all     66.29      0.32      6.13      0.00      0.00      0.00      2.95      0.00     24.32
05:05:54 PM     all     65.39      0.30      6.08      0.00      0.00      0.00      2.85      0.00     25.39
05:05:56 PM     all     67.01      0.00      6.32      0.00      0.00      0.00      2.73      0.00     23.94
05:05:58 PM     all     66.55      0.00      6.08      0.00      0.00      0.00      2.96      0.00     24.41
05:06:00 PM     all     67.76      0.00      6.09      0.00      0.00      0.00      2.85      0.00     23.31
05:06:02 PM     all     66.60      0.34      6.31      0.00      0.00      0.02      2.81      0.00     23.92
05:06:04 PM     all     66.50      0.00      6.32      0.00      0.00      0.00      2.81      0.00     24.37
05:06:06 PM     all     66.83      0.00      6.40      0.00      0.00      0.00      2.60      0.00     24.18
05:06:08 PM     all     67.14      0.00      6.26      0.00      0.00      0.00      2.66      0.00     23.94
05:06:10 PM     all     67.03      0.00      6.36      0.00      0.00      0.00      2.62      0.00     23.99
05:06:12 PM     all     67.66      0.00      6.54      0.00      0.00      0.00      2.55      0.00     23.25
05:06:14 PM     all     67.63      0.00      6.52      0.00      0.00      0.00      2.68      0.00     23.18
05:06:16 PM     all     66.39      0.00      6.47      0.00      0.00      0.02      2.64      0.00     24.48
05:06:18 PM     all     66.65      0.00      6.42      0.00      0.00      0.00      2.70      0.00     24.23
05:06:20 PM     all     67.11      0.00      6.43      0.00      0.00      0.00      2.66      0.00     23.80
05:06:22 PM     all     67.52      0.00      6.29      0.00      0.00      0.00      2.57      0.00     23.61
05:06:24 PM     all     65.94      0.00      6.42      0.00      0.00      0.00      2.64      0.00     25.00
05:06:26 PM     all     65.61      0.00      6.40      0.00      0.00      0.00      2.61      0.00     25.38
05:06:28 PM     all     29.23      0.21      3.06      0.00      0.00      0.00      1.07      0.00     66.44
