Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab02.managed.contegix.com) 	03/20/2014 	_x86_64_	(24 CPU)

05:05:32 PM    proc/s   cswch/s
05:05:34 PM     32.50  22406.50
05:05:36 PM     34.17  28991.46
05:05:38 PM     25.13  26483.42
05:05:40 PM      6.50  26546.50
05:05:42 PM      5.50  28653.50
05:05:44 PM      4.06  30873.10
05:05:46 PM     15.08  31183.92
05:05:48 PM      6.57  30332.83
05:05:50 PM      6.03  31494.47
05:05:52 PM      3.52  31690.45
05:05:54 PM      6.77  33814.58
05:05:56 PM      4.08  32405.10
05:05:58 PM      4.06  32049.24
05:06:00 PM      4.15  31811.40
05:06:02 PM      5.56  31586.36
05:06:04 PM      4.02  31513.57
05:06:06 PM      4.04  31557.07
05:06:08 PM      4.04  32496.46
05:06:10 PM      4.04  31455.56
05:06:12 PM      2.04  31616.33
05:06:14 PM      4.08  31818.88
05:06:16 PM      4.10  33128.72
05:06:18 PM      4.10  32723.08
05:06:20 PM      4.10  32532.82
05:06:22 PM      4.59  32716.33
05:06:24 PM      4.02  32283.92
05:06:26 PM      4.00  33957.00
05:06:28 PM      5.53  15946.23
