Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/23/2014 	_x86_64_	(2 CPU)

07:56:32 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
07:58:44 PM     all     61.19      0.00      6.22      0.00     23.88      0.00      0.75      0.00      7.96
07:58:46 PM     all     64.34      0.00      5.30      0.00     26.27      0.00      1.20      0.00      2.89
07:58:48 PM     all     64.30      0.00      5.13      0.00     23.47      0.00      1.22      0.00      5.87
07:58:50 PM     all     67.53      0.00      4.12      0.00     21.65      0.00      1.03      0.00      5.67
07:58:52 PM     all     61.97      0.00      6.34      0.00     27.23      0.00      1.41      0.00      3.05
07:58:54 PM     all     59.85      0.00      5.17      0.00     26.60      0.00      1.23      0.00      7.14
07:58:56 PM     all     65.94      0.00      4.14      0.00     23.84      0.00      0.73      0.00      5.35
07:58:58 PM     all     63.39      0.00      5.41      0.00     26.54      0.00      1.47      0.00      3.19
07:59:00 PM     all     66.92      0.00      5.05      0.00     22.98      0.00      1.01      0.00      4.04
07:59:02 PM     all     60.36      0.00      5.01      0.00     25.06      0.00      1.14      0.00      8.43
07:59:04 PM     all     62.80      0.00      6.16      0.00     23.70      0.00      1.42      0.00      5.92
07:59:06 PM     all     60.44      0.00      4.85      0.00     21.36      0.00      0.97      0.00     12.38
07:59:08 PM     all     67.09      0.00      4.02      0.00     24.37      0.00      1.01      0.00      3.52
07:59:10 PM     all     61.27      0.00      7.51      0.00     25.82      0.00      1.41      0.00      3.99
07:59:12 PM     all     66.58      0.00      4.42      0.00     25.55      0.00      0.74      0.00      2.70
07:59:14 PM     all     63.07      0.00      5.52      0.00     23.02      0.00      1.20      0.00      7.19
07:59:16 PM     all     64.53      0.00      5.17      0.00     20.94      0.00      1.97      0.00      7.39
07:59:18 PM     all     51.49      0.00      3.22      0.00     19.55      0.00      0.50      0.00     25.25
07:59:20 PM     all     50.86      0.00      2.72      0.00     19.75      0.00      0.49      0.00     26.17
07:59:22 PM     all     41.23      0.00      3.08      0.24     16.59      0.00      0.24      0.00     38.63
07:59:24 PM     all     63.17      0.00      5.13      0.00     25.17      0.00      0.93      0.00      5.59
07:59:26 PM     all     61.84      0.00      5.07      0.00     28.50      0.00      0.97      0.00      3.62
07:59:28 PM     all     62.86      0.00      5.00      0.00     23.33      0.00      0.71      0.00      8.10
07:59:30 PM     all     62.53      0.00      5.71      0.00     22.83      0.00      0.99      0.00      7.94
07:59:32 PM     all     65.51      0.00      4.71      0.00     27.05      0.00      1.49      0.00      1.24
07:59:34 PM     all     60.96      0.00      5.94      0.00     27.40      0.00      0.91      0.00      4.79
07:59:36 PM     all     64.89      0.00      5.08      0.00     22.28      0.00      0.48      0.00      7.26
07:59:38 PM     all     64.95      0.00      4.17      0.00     26.47      0.00      1.23      0.00      3.19
07:59:40 PM     all     65.05      0.00      5.83      0.00     20.87      0.00      0.73      0.00      7.52
07:59:42 PM     all     64.89      0.00      4.33      0.00     23.16      0.00      1.02      0.00      6.62
07:59:44 PM     all     62.71      0.00      5.57      0.00     24.94      0.00      0.97      0.00      5.81
07:59:46 PM     all     61.16      0.00      5.81      0.00     22.56      0.00      1.40      0.00      9.07
07:59:48 PM     all     63.34      0.00      5.99      0.00     25.44      0.00      1.00      0.00      4.24
07:59:50 PM     all     64.82      0.00      5.30      0.00     26.51      0.00      0.96      0.00      2.41
07:59:52 PM     all     65.21      0.00      3.89      0.00     25.06      0.00      1.22      0.00      4.62
07:59:54 PM     all     61.45      0.00      4.58      0.00     21.93      0.00      1.20      0.00     10.84
07:59:56 PM     all     67.25      0.00      5.75      0.00     21.25      0.00      1.50      0.00      4.25
07:59:58 PM     all     62.00      0.00      4.99      0.00     27.55      0.00      0.95      0.00      4.51
08:00:00 PM     all     66.42      0.00      4.38      0.00     20.68      0.00      0.49      0.00      8.03
08:00:02 PM     all     55.06      0.00      7.42      0.00     28.99      0.00      2.92      0.00      5.62
08:00:04 PM     all     66.34      0.00      5.33      0.00     25.18      0.00      0.73      0.00      2.42
08:00:06 PM     all     61.35      0.00      5.56      0.00     26.57      0.00      0.72      0.00      5.80
08:00:09 PM     all     68.16      0.00      5.22      0.00     24.13      0.00      0.75      0.00      1.74
08:00:11 PM     all     59.90      0.00      7.88      0.00     23.15      0.00      0.72      0.00      8.35
08:00:13 PM     all     64.39      0.00      6.59      0.00     22.68      0.00      2.20      0.00      4.15
08:00:15 PM     all     57.27      0.00      6.59      0.00     29.32      0.00      2.27      0.00      4.55
08:00:17 PM     all     63.17      0.00      6.10      0.00     23.41      0.00      1.22      0.00      6.10
08:00:19 PM     all     61.31      0.00      6.08      0.00     19.46      0.00      1.22      0.00     11.92
08:00:21 PM     all     63.12      0.00      6.19      0.00     25.74      0.00      0.99      0.00      3.96
08:00:23 PM     all     66.42      0.00      4.23      0.00     24.13      0.00      1.00      0.00      4.23
08:00:25 PM     all     61.04      0.00      6.31      0.00     27.25      0.00      0.90      0.00      4.50
